,PageNo,Text
0,page_0,
1,page_1,
2,page_2,
3,page_3,"Alliance A221504 4 Update 2 Version Date 6/25/2019 A Randomized, Double -Blind, Placebo -Controlled Pilot Study of an Oral, Selective Peripheral Opioid Receptor Antagonist in Advanced Non- Small Cell Lung Cancer Eligibility Criteria (see Section 3.2) Required Initial Laboratory Values Advanced (stage IIIB o r IV) non-small cell lung cancer . See 3.2.1 No known presence of known EGFR or EML4 -ALK driver mutations in the tumor Absolute neutrophil count (ANC) ≥ 1500/mm3 Started first -line systemic therapy of the investigator’s choice within 12 weeks prior Platelet Count ≥ 100,000/mm3 to registration, or planning to initiate first -line systemic therapy of the investigator’s choice within 4 weeks after registration. . See 3.2.3. Calc. Creatinine ≥ 60 mL/min* No prior systemic therapy for advanced NSCLC (other t han current treatment) . See 3.2.4. Clearance (see Alliance website) No current or prolonged recent use of mixed opioid agonists/antagonists or other opioid antagonists. See 3.2.5 Total Bilirubin ≤ 1.2 x ULN** No methadone within 4 weeks prior to registration. Patients must have used opioid medication(s) for pain at some time in the 4 weeks prior to registration . See 3.2.7 . AST and ALT ≤ 2.5 x ULN Expected survival > 3 months. * Calculated using the Cockcroft -Gault No concurrently active second invasive malignancies except non -melanoma skin formula cancer. See 3.2.9. **Unless due to Gilbert’s disease No history of gastrointestinal obstruction or conditions that increase the risk of gastrointestinal obstruction, perforation, bleeding or impairment of the gastrointestinal wall. No abdominal surgery within 60 days of registration. No acute gastrointestinal conditions. See 3.2.11 No conditions that may compromise blood -brain barrier permeability. See 3.2.12 No history of myocardial infarction ≤ 6 months prior to registration. See 3.2.13. No severe hepatic impairment (Child -Pugh class C), or acute liver disease. No known serious or severe hypersensitivity reaction to naloxegol or any of its excipients No concurrent use of moderate/strong CYP3A4 inhibitors, strong CYP3A4 inducers, or other opioid antagonists or mixed agonists/antagonists. See 3.2.16. Not pregnant and not nursing. See 3.2.17. Age ≥ 18 years ECOG Performance Status 0 -2 Schema 1 Cycle = 3 weeks during the first year of treatment 1 Cycle = 3 mont hs during the second year of treatment R A N D O M I Z E Naloxegol 12.5 mg orally once daily Naloxegol 25 mg orally once daily Placebo orally once daily Treatment is to continue for up to 2 years, but it can be discontinued for unacceptable adverse events. Clinic visits will take place at 3 and 6 weeks and then every 6 weeks for 1 year following the start of treatment. Patients will then be followed every 3 months until 2 years after the sta rt of treatment. Administration of standard opioids and other analgesics to control pain adequately will be permitted in all patients at the discretion of the treating physician. Please refer to the full protocol text for a complete description of the eligibility criteria and treatment plan."
4,page_4,"Alliance A221504 5 Update 2 Version Date 6/25/2019 TABLE OF CONTENTS Section Page 1.0 BACKGROUND .............................................................................................................................. 7 1.1 Rationale for Proposed Study ......................................................................................................... 7 1.2 Rationale for selecting lung cancer ................................................................................................ 7 1.3 Rationale for selecting feasibility and safety as the primary endpoint: .......................................... 8 1.4 Rationale for estimating change in HRQoL in the current study ................................................... 8 1.5 Rationale for selecting baseline levels/presence/absence of pain, opioid use and peripheral adverse effects of opioids: ........................................................................................................................ 9 1.6 Rationale for a 3 -arm study design including placebo and 2 dose arms of study drug: ............... 11 1.7 Basic and pre- clinical studies ....................................................................................................... 12 1.8 Naloxegol and other PAMORAs .................................................................................................. 14 1.9 Study Hypotheses ........................................................................................................................ 15 1.10 How this pilot study will provide essential data for a future, more definitive study, and its possible design:....................................................................................................................................... 15 2.0 OBJECTIVES ................................................................................................................................ 16 2.1 Primary objective ......................................................................................................................... 16 2.2 Secondary objective(s) ................................................................................................................. 16 2.3 Correlative science objective ........................................................................................................ 16 3.0 PATIENT SELECTION ............................................................................................................... 16 3.1 On-Study Guidelines .................................................................................................................... 16 3.2 Eligibility Criteria ......................................................................................................................... 17 4.0 PATIENT REGISTRATION ....................................................................................................... 20 4.1 CTEP / DCP Investigator Registration Procedures ...................................................................... 20 4.2 CTSU Site Registration Procedures ............................................................................................. 21 4.3 Patient Registration Requirements ............................................................................................... 23 4.4 Patient Registration/Randomization Procedures .......................................................................... 23 4.5 Registration to Correlative and Companion Studies .................................................................... 24 4.6 Stratification Factors .................................................................................................................... 24 4.7 Procedures for Double- Blinding the Treatment Assignment ....................................................... 24 5.0 ST UDY CALENDAR .................................................................................................................... 25 6.0 DATA AND SPECIMEN SUBMISSION .................................................................................... 26 6.1 Data Collection and Submission .................................................................................................. 26 6.2 Specimen collection and submission ............................................................................................ 28 7.0 TREATMENT PLAN/INTER VENTION ................................................................................... 31 7.1 Naloxegol/ Placebo ....................................................................................................................... 31 7.2 First-line systemic therapy. .......................................................................................................... 32 7.3 Opioids ......................................................................................................................................... 32 8.0 DOSE AND TREATMENT MODIFICATIONS & UNBLINDING ........................................ 32 8.1 Ancillary therapy, concomitant medications, and supportive care ............................................... 32 8.2 Dose Modifications ...................................................................................................................... 34 8.3 Unblinding Procedures ................................................................................................................. 35 9.0 ADVERSE EVENTS ..................................................................................................................... 36 9.1 Routine adverse event reporting ................................................................................................... 36 9.2 CTCAE Routine Reporting Requirements ................................................................................... 37"
5,page_5,"Alliance A221504 6 Update 2 Version Date 6/25/2019 9.3 Expedited Adverse Event Reporting (CTEP- AERS) ................................................................... 37 10.0 DRUG INFORMATION ............................................................................................................... 40 10.1 Naloxegol (IND Exempt) ............................................................................................................. 40 10.2 Placebo ......................................................................................................................................... 43 11.0 HEALTH OUTCOMES MEAS URES ......................................................................................... 43 11.1 FACT -L ........................................................................................................................................ 43 11.2 PRO -CTCAEs and urinary hesitancy question ............................................................................ 44 11.3 Bowel function- diary (BF -Diary) ................................................................................................. 44 11.4 Pain and analgesic use .................................................................................................................. 44 12.0 END OF TREATMENT/INTERVENTION ............................................................................... 45 12.1 Duration of Treatment .................................................................................................................. 45 12.2 Managing ineligible patients and registered patients who never receive protocol intervention ... 45 12.3 Extraordinary Medical Circumstances ......................................................................................... 45 13.0 STATISTICAL CONSIDERATIONS ......................................................................................... 45 13.1 Study Overview ............................................................................................................................ 45 13.2 Sample Size, Accrual Time and Study Duration .......................................................................... 46 13.3 Statistical Design and Analysis for the Primary Endpoint ........................................................... 47 13.4 Supplementary Analysis Plans ..................................................................................................... 47 13.5 Study Monitoring ......................................................................................................................... 48 13.6 Study Reporting ............................................................................................................................ 49 13.7 Inclusion of Women and Minorities ............................................................................................. 50 14.0 CORRELATIVE AND COMPANION STUDIES ..................................................................... 51 14.1 Biological mechanism of action, and biomarkers that would predict response/risk to the study drug ...................................................................................................................................................... 51 15.0 GENERAL REGULATORY C ONSIDERATIONS AND CREDENTIALING ...................... 56 16.0 REFERENCES .............................................................................................................................. 57 17.0 MODEL CONSENT FORM ............................................................................................................ 63 APPE NDIX I: PAIN AND PAIN MEDICATION DIARY ................................................................... 75 APPENDIX II: PATIENT MEDICATION DIARY – NALOXEGOL/PLACEBO ............................ 79 APPENDIX III: CALCULATION OF EQUI -ANALGESIC DOSES OF OPIOID MEDICATIONS . ......................................................................................................................................................... 81 APPENDIX IV: BOWEL F UNCTION -DIARY (BF -DIARY) ............................................................. 83 APPENDIX V: PRO -CTCAE* AND URINARY HESITANCY QUESTION .................................... 85 APPENDIX VI: FACT -L (VERSION 4) ................................................................................................ 88 APPENDIX VII: PATIENT INFORMATION SHEETS ...................................................................... 91 APPENDIX VIII: HEMOLYZED PLASMA SAMPLES ..................................................................... 97 APPENDIX IX: NALOXEG OL WALLET CARD ............................................................................... 98"
6,page_6,"Alliance A221504 7 Update 2 Version Date 6/25/2019 1.0 B ACKGROUND 1.1 Rationale for Proposed Study Opioid medications are the mainstay of treatment for severe, chronic cancer pain. The analgesic activity of opioids is mediated via central mu opioid receptors (MORs) in the central nervous system (CNS). However, MORs are also present on endothelial cells1 and in human tumors (peripheral MORs), including lung2-4 and prostate5 cancer. Compelling pre -clinical studies indicate that expression and activation of peripheral MORs are associated with tumor progression in animal models. Recent clinical studies raise the possibility that opioid exposure is also associated with tumor progression in patients with various malignancies including lung cancer. See section 1.7. In patients with advanced malignancies, symptoms related to progression of cancer and its treatments, as well the adverse effects of commonly used opioids, all contribute to impair the health -related quality of life (HRQoL). In view of the above, our long -term goal is to develop a novel, non- chemotherapeutic intervention blocking the activation of peripheral opioid receptors that contributes to tumor progression and adverse effects of opioids may improve the HRQoL of patients with advanced malignancies, and may also improve disease outcomes. Towards this eventual goal, we will perform this pilot study to firs t determine the feasibility and safety of long -term administration of an orally available, FDA -approved, peripherally acting mu opioid receptor antagonist (PAMORA) in a patient population receiving standard systemic therapy for advanced, incurable lung cancer. We hope to eventually study this agent in a more advanced phase clinical trial. 1.2 Rationale for selecting lung cancer Worldwide, lung carcinoma is the most common malignancy and the leading cause of cancer deaths. The global incidence of lung cancer was estimated to be 1.8 million cases/year in 2012, resulting in nearly 1.6 million deaths/year (nearly 20% of all cancer deaths). 6 In the United States, the incidence of lung cancer is projected to be 224,390 new cases in 2016, which will lead to approx imately 158,000 deaths (26.5% of all cancer deaths).7 The majority (≥ 80%) of lung cancers are non -small cell lung cancer (NSCLC), of which adenocarcinoma is the most common subtype. Advanced malignancies, including NSCLC, are often accompanied by pain. Approximately 2/3 of patients with advanced malignancies experience pain, with 50% experiencing at least moderate pain; lung cancer ranks third highest for pain prevalence among all malignancies. 8 Malignancy options that were considered for the current study included (a) patients with various advanced malignancies, or (b) patients with a single tumor type (non -small cell lung cancer, pancreatic, breast or prostate cancer). Including patients with diverse malignancies would accelerate accrual and generalization of the results, but we were concerned that heterogeneity in this patient population and their cancer treatments would have an insurmountable impact on statistical analysis of adverse effects and activity. Advanced pancreatic cancer is common, often presents with inoperable/incurable disease in which survival is relatively short, and is associated with severe, refractory pain. However, there is a lack of basic, pre- clinical or clinical data relevant to the current concept. Breast and prostate cancer were not considered as the optimal malignancies to study because long survival of patients with both of those malignancies will require very prolonged follow-up to detect possible benefit. The clinical course and prognosis of the various subtypes of NSCLC including adenocarcinoma, large cell carcinoma and squamous cell carcinoma are similar (overall response rate of ~30%, time to progression of 4-6 months, 1-year survival of 30-40% and 2 year survival of 10-15%). Impairment of HRQoL (the primary endpoint of this study) is therefore likely to occur at similar time points in patients with adenocarcinoma as in patients with other subtypes of NSCLC."
7,page_7,"Alliance A221504 8 Update 2 Version Date 6/25/2019 Several groups (including ours) have reported that pain/opioids/peripheral opioid receptor activation is associated with poorer outcomes (including shorter survival) in cohorts of NSCLC patients including both adenocarcinoma and other subtypes.24, 47, 48, 49, 58, 59, 93 We and others have also reported that similar effects occur in diverse malignancies, including those of the prostate, breast, pancreas, esophagus, stomach, co lon.5, 48, 53- 59, 94, 95 There fore, the evidence indicates that the association of peripheral opioid receptor activation with poorer clinical outcomes is likely to be a phenomenon that occurs in ma ny common malignancies, and is not restricted to adenocarcinoma of the lung. When this study was initially designed, the standard systemic therapy for adenocarcinoma of the lung was a combination of a platinum (cisplatin or carboplatin) and pemetrexed, so we accordingly restricted eligibility to adenocarcinoma alone. However, the field has advanced rapidly, and current standard therapy for adenocarcinoma as well as other subtypes of NSCLC includes immune checkpoint inhibitor alone (e.g. pembrolizumab) for all subtypes of NSCLC where tumor PD -L1 expression is ≥50%, and a combination of immune checkpoint inhibitor therapy with platinum -based chemotherapy in all subtypes of NSCLC where tumor PD -L1 expression is ≥1%. While pemetrexed itself is not recommended fo r patients with squamous cell carcinoma, the other commonly used standard platinum -based regimens are all Category 1 options common to adenocarcinoma and squamous cell carcinoma (e.g. those including paclitaxel, docetaxel, etoposide or gemcitabine: NCCN Gu idelines version 6.2018 for Non- Small Cell Lung Cancer ). For the above reasons, we believe that it is no longer necessary to restrict eligibility to adenocarcinoma of the lung, and that patients with other subtypes of NSCLC receiving standard first -line sy stemic therapy should also be eligible. We therefore elected to limit this study to patients with advanced NSCLC, because (a) it is a very common tumor type, (b) patients often present with advanced (incurable) disease associated with relatively short surv ival, (c) there is extensive basic and pre- clinical data available regarding opioid receptor expression and activity that provides a solid scientific basis for this study, as well as retrospective clinical data showing association of opioid exposure with p oorer clinical outcomes, and (d) tumor progression (that usually occurs within 5-8 months of starting first-line chemotherapy 9) impairs HRQoL .10-12 For the above reasons, we expect to reach the primary endpoints relatively quickly in this pilot study. See section 1.7. 1.3 Rationale for selecting feasibility and safety as the primary endpoint: In an initial pilot study, it is most important to determine if (a) a sufficiently high accrual rate will be achieved in a diverse multi- center setting to make it possible to successfully undertake a larger, more definitive study, (b) the majority of patients will be able to continue taking the study drug together with systemic therapy for an extended period, (c) the study drug is associated with an acceptably low rate of severe (grade III or higher) side effects in this sett ing, and (d) there is any signal that administration of the study drug may be associated with unexpected adverse clinical outcomes when given together with systemic therapy . Of note, several pre- clinical studies from study team and others demonstrating tha t PAMORAs inhibit morp hine-induced upregulation of angiogenesis and multi -drug resistance to chemotherapy 13-14 provide reassurance that the study drug is not likely to adversely affect the efficacy of systemic therapy . 1.4 Rationale for estimating change i n HRQoL in the current study Tumor progression is known to impair, and effective chemotherapy is known to improve, HRQoL in advanced NSCLC.11-12 Early initiation of non- chemotherapeutic interventions (e.g., palliative care) in patients with advanced NSCLC further improves HRQoL, irrespective of anti - cancer therapies.15"
8,page_8,"Alliance A221504 9 Update 2 Version Date 6/25/2019 The HRQoL of patients with advanced malignancies is adversely affected by pain and other symptoms due to tumor progression as well as by the adverse peripheral effects of opioid analgesics, including constipation, nausea, vomiting, xerostomia and drowsiness.16 Recent studies further suggest that opioid -associated tumor progression may be an additional factor that impairs HRQoL. In patients with advanced non- squamous NSCLC (adenocarcinoma), pe metrexed -based chemotherapy achieves a median progression -free survival (PFS) of 5.3 (95% CI: 4.8-5.7) months, with a median overall survival (OS) of 12.6 months; approximately 75% patients remain alive at 6 months. 17 Pemetrexed -based induction chemotherapy followed by maintenance pemetrexed achieves a median PFS of 4.4 (95% CI: 4.1- 5.7) months from randomization to maintenance pemetrexed,18 or 7.5 (95% CI: 6.9 -8.6) months from the start of initial induction chemotherapy.9 Overall HRQoL (total FACT -L score) and the trial outcome index (TOI) of patients with advanced NSCLC treated with standard induction chemotherapy declines significantly by 6 months.19 A more recent HRQoL analysis of patients receiving pemetrexed maintenance chemotherapy for NSCLC found that the time to worsening of symptoms (TWS) for pain occurred at a median of 6.1 (95% CI: 4.6 – 9.6) months and TWS for overall HRQoL occurred at a median of 5.8 (95% CI: 4.4 – 8.4) months from randomization to maintenance pemetrexed (please see figure 1). 10 Of note, there was a rapid decline in HRQoL within the first few months of starting maintenance pemetrexed (i.e., after 3 months of prior induction chemotherapy). In the above study, there was a highly significant correlation between TWS of pain or HRQoL and progression- free survival and overall survival (P < 0.0001) for all comparisons, indicating that worsening of pain and HRQoL coincide with disease progression and death.10 The Food and Drug Administration (FDA) and the American Society of Clinical Onc ology (ASCO) have opined that determining the effect of treatment on symptoms and HRQoL is of major importance in advanced NSCLC.20,21 Accordingly, HRQoL has been used as a primary endpoint in recent phase III trials comparing pemetrexed based chemotherapy with other regimens in NSCLC.22,23 For the above reasons, HRQoL may therefore serve as the “best” overall measure of potential benefit of the study drug with respect to mitigation of opioid- induced tumor progression as well as mitigation of the periphera l adverse effect of opioids. In view of the expected PFS, OS and time to decline in HRQoL in advanced NSCLC (detailed above), we propose to estimate the difference in HRQoL at 6 months in this pilot study, to inform the design of the subsequent phase II or III studies. Patients may experience objective progression of disease by this time, 9,18 but naloxegol/placebo will be continued for up to 2 years, and data will continue to be collected regarding the safety and potential efficacy of the study drug during this time, even in patients who progress on first line therapy. See Section 1.7 . The Alliance has considerable experience in ensuring continued data collection by mail or phone in patients who become unable to come to clinic visits because of clinical deterioration, so we expect the drop -out rates for HRQoL data collection to be relatively low for the proposed duration. 1.5 Rationale for selecting baseline l evels/presence/absence of pain , opioid use and peripheral adverse e ffects of opioids: Inclusion/exclusion criteria regarding pain and opioid use prior to registration/initiation of study : We considered various options, including (a) limiting the study to patients with minimal pre - study pain and little/no opioid use, (b) limiting the study to patients with high levels of pain and extensive opioid use, or (c) not requiring patients to be experiencing a specific level of pain, but only requiring patients to have needed opioid medication(s) for pain within 4 weeks of registration."
9,page_9,"Alliance A221504 10 Update 2 Version Date 6/25/2019 Option (a) would minimize the theoretical likelihood that pain/opioids would have impacted on tumor biology prior to initiation of study drug, but might delay detection of improvement in HRQoL endpoints. Option (b) would increase likelihood of early detection of improvement in HRQoL, but would also increase likelihood of GI side effects of the study drug (due to a rapid reversal of constipation). Such patients may also be too ill to stay on the study for sufficient length of time and experience short survival, compromising their contribution to provide adequate longer -term data on the endpoints being studied. Furthermore, potential benefit of study drug may not be seen because pain/opioids may already have induced tumor angiogenesis/signaling pathways causing tumor progression. Considering all these aspects, we initially selected option (c) because it was suggested by reviewers, that we do this when an early version of this protocol concept was reviewed, it might achieve the best possible balance between testing the underlying pathophysiological phenomena, facilitate rapid enrollment, allow for widest possible applicabi lity of the results, and allow detection of improvement in HRQoL during the planned duration of the study (please see section on HRQoL above, and Figure 1 for the basis for this expectation), since patients would have started requiring opioid medications for pain control already. We did not expect this criterion to create a significant barrier to enrollment, since, in our recent study 24 the majority of patients with advanced NSCLC had required opioids prior to initiation of chemotherapy. Inclusion/exclusion criteria regarding opioid -induced adverse effects prior to registration/initiation of study : The study design includes specifically and prospectively assessing the separate impact of naloxegol on constipation (using a validated opioid- induced constipation [OIC] instrument) and other side effects of opioids (using Linear Analogue Self -Assessment [LASA] and Patient - Reported Outcome - Common Terminology Criteria for Adverse Events [PRO -CTCAE] items) as they may arise over time, so that the results of this pilot study will provide an exploratory assessment of the effect of naloxegol on diverse side effects of opioids in cancer patients, and directly inform the design of a future definitive study. While the patients who we enter on this trial may not have a large number of symptoms or a poor HRQoL at baseline, we fully expect that HRQoL will decrease over time as the lung cancer disease becomes more prominent. Thus, we will have patients who could give a positive HRQoL signal due to beneficial effects on cancer -related symptoms, and perhaps also on peripheral adverse effects of opioids as they arise in patients who requir e escalating opioid doses with cancer progression (see section on HRQoL above, and Figure 1)."
