,PageNo,Text
0,page_0,"Reducing Inequities in Care of Hypertension: Lifestyle Improvement for Everyone (The RICH LIFE Project): Study Protocol A study to compare the effectiveness of health systems versus multilevel interventions to reduce hypertension disparities NCT02674464 PRINCIPAL INVESTIGATORS: LISA A. COOPER, MD, MPH JILL MARSTELLER, PHD, MPP September 2015 – August 2022 October 15, 2021"
1,page_1,JHU Protocol | 10.15.21 1 Table of Contents 1. Background/Significance .........................................................................3 2. Objectives ................................................................................................8 3. Design ......................................................................................................12 4. Recruitment of practices ..........................................................................18 5. Recruitment of participants ......................................................................24 6. Interventions ............................................................................................29 7. Measurements ..........................................................................................61 8. Analysis....................................................................................................65 9. Quality Contro l and Quality Assurance ...................................................69 10. Ethics ........................................................................................................72 11. Data Handling and Recordkeeping ..........................................................76 12. Publication Policy ....................................................................................77 13. Ancillary S tudies ......................................................................................81 14. Appendices ( separate document )
2,page_2,"JHU Protocol | 10.15.21 2 Section 1: Background / Significance A. The problem 1. Cardiovascular disease (CVD) remains the leading cause of death and disability in the US -- despite the wide availability of effective therapy and prevention .1 Approximately 600,000 Americans die of heart disease annually (1 in every 4 deaths), and every year about 720,000 people in the US suffer from a heart attack.1 Annually, the US spends about $108.9 billion treati ng coronary heart disease alone.1 US racial and ethnic minorities are disproportionately burdened by CVD with African Americans (24.5%), American Indians/Alaska Natives (18%), Asians/Pacific Islanders (23.2%), and Hispanics (20.8%) representing a greater p ercentage of deaths from heart disease than their overall representation in the US population. 1-11 Persons with low income and those living in rural areas are also disproportionately affected by hypertension (HTN) and other CVD risk factors, and experience less access and poorer quality of care.12-14 Numerous calls to action, including a recent PCORI Landmark Report15 have highlighted the need to reduce the CVD burden by targeting the reduction of HTN and other major CVD risk factors (e.g., diabetes, high cholesterol, tobacco smoking) in underserved groups. Additionally, depressive symptoms among patients with diabetes and HTN are associated with higher rates of CVD, mortality, poorer adherence, and worse quality of life. 16-18 2. Disparities in HTN and other CVD risk factors are well -documented even among patients seen regularly in the healthcare system . For instance, the prevalence of HTN in African Americans is among the highest in the world.6 African Americans have higher rates of Stage 3 HTN, causing a greater burden of CVD-related outcomes, including an 80% higher stroke mortality rate, a 50% higher heart disease mortality rate, and a 320% greater incidence of end- stage renal disease than the general population. 2,19- 22 Other groups, such as Hispanics and American Indians also suffer disproportionately from HTN in addition to other CVD- risk factors, such as diabetes.2,22 Diabetes affects over 20 million people in the US, resulting in significant morbidity and reduced quality of life.22-24 In addition to incre ased CVD -risk, other complications of diabetes include retinopathy, blindness, limb amputation, and macrovascular disease.22, 24- 27 3. Barriers to reducing disparities in HTN are complex and exist at multiple levels , including factors related to the individua l patient (e.g., behavioral, biological, attitudinal, sociodemographic);28-30 family and social support systems (e.g., family dynamics, living arrangements, financial strain);31,32 healthcare providers and organizations and practice settings in which health care occurs (e.g., healthcare quality, provider communication and trustworthiness); 33-36 the local community (e.g., neighborhood poverty, crime, residential segregation, availability of healthy foods);37,38 and the policy environment (e.g., pay- for-perfo rmance models).39 Prior literature points to a variety of approaches (e.g., practice-based quality improvement (QI)) designed to reduce HTN and other CVD risk factors with some tailored to minority patients (e.g., community-health workers (CHWs), culturally tailored physician training). However, few existing approaches were designed to explicitly address disparities in HTN care and control. Additionally, ethnic minority groups (other than African Americans) and rural populations are understudied. Finally, no group has attempted to combine multilevel strategies into a pragmatic and sustainable approach to reduce multiple CVD -related risk factors (HTN, diabetes, high cholesterol, smoking, and depressive symptoms) and improve patient-centered outcomes in underserved communities. B. Literature review: Findings from studies with potential clinical significance 1. Potential for Improvement in CVD Risk Reduction through Practice Based Interventions. Practice based QI interventions can target several areas— health syste ms (case management, team changes, patient registry, facilitated relay of information to clinicians), healthcare providers (audit and feedback,"
3,page_3,"JHU Protocol | 10.15.21 3 clinician education, clinician reminders, financial incentives), or patients (patient education, promotion of se lf-management, reminder systems).40 Few QI interventions have measured reduction in disparities as an outcome; even fewer have targeted reduction in disparities as a primary goal or examined processes known to contribute to disparities in outcomes. 2. QI Strategies for HTN. Results from a Cochrane review of patient interventions to improve adherence to high blood pressure (BP) treatment suggest that simplifying dosing regimens is most effective; using motivational strategies such as home monitoring, small-group training, counseling by a nurse or other professional, and reminder calls for patients are somewhat effective; and patient education alone is not effective. 41 In our review of 11 more recent studies, 9 found some improvement in BP control compared with the control group.42-51 Of these, only 1 showed improvement with patient education alone, while the other 8 included either nurse or pharmacist-directed programs or collaborative care (CC) of the patient with a pharmacist, providing additional evidence for the effectiveness of these approaches.42-51 Studies of provider interventions that target only clinic ians show improvements in guideline-concordant prescribing; none show improvements in patient adherence or BP control.52-57 Recent systematic reviews suggest that audit and feedback interventions of clinical performance data are also associated with modest (but variable) improvements in HTN control and are most effective when they are delivered in written form , provide frequent (at least monthly) feedback, and sugge st specific actions for improvement.58-60 The availability of reliable and valid BP measurements can also enhance providers’ willingness to titrate anti -HTN medic ations.61 Results from our recent pragmatic trial suggest that rigorous BP measurement consistent with American Heart Association (AHA) guidelines can be successful ly achieved, while evidence suggests that this rigorous approach may be required only when patients’ initial clinic BP is ≥140/90 mm Hg. 62-64 Two systematic reviews show team change interventions that include assignment of some responsibilities to a health professional other than the patient's physician (such as a nurse or pharmacist) are associated with the largest reductions in BP.65,66 3. QI Strategies for Diabetes and Oth er CVD Risk Factors. Several prior meta -analyses have examined the impact of clinic -based interventions on risk reduction in patients with diabetes.40,67,68 A meta - analysis of 58 studies of 66 distinct trials revealed that strategies associated with a reduction in hemoglobin A1c (HbA1c) included case management and team changes, with greater effects observed among those that included multidisciplinary, interactive teams. 68 A more recent meta-analysis found that multicomponent QI interventions resulted in lower HbA1c, LDL cholesterol and BP.40 Another systematic review of 17 studies examining the effectiveness of patient, provider, and system interventions in socially disadvantaged populations found that most studies showed improvements in HbA1c but were less effective in improving body weight (2/9 studies), lipids (2/7 studies), and BP (2/4 studies). 69 Controlling BP significantly reduces CVD morbidity and overall mortality among patients with diabetes70 further supporting the urgent need for programs to better address multiple risk factors and multi-level approaches, including broader interpersonal, community, and environmental influences. 4. Potential for Reducing HTN and CVD Disparities through Multilevel Interventions. Important gaps in the evidence base, described below, have hampered translation of multilevel interventions for disparities into practice and policy. We intend to address many of these gaps with our innovative study approaches. 5. Community -Level Strategies. Results from a recent multicomponent, cluster -randomized clinical trial targeting BP control in African Americans (the CAATCH Trial) found that the clinic -based intervention was no better than usual care in improving BP control in African Americans, suggesting that additional outreach services and stronger engagement of patients’ social support and linkages to community resources may be needed. 71-73 Community based interventions involving the use of CHWs often incorporate the provision of culturally sensitive, re levant support for patient disease self -management.74- 76 This is accomplished through such activities as health education, one-on-one counseling, BP screening, and support for lifestyle modification.74,75,77 In a systematic review of 14 studies examining"
4,page_4,"JHU Protocol | 10.15.21 4 the effectiveness of CHWs in helping HTN patients achieve sustained BP control, Brownstein et al. observed a consistent trend toward positive outcomes relating to BP control, health care utilization, and improvements in mortality. 74 This is concordant with findings from Fleury and colleagues’ 20-study appraisal of the effectiveness of lay health advisors in reducing CVD risk factors.75 Locally, investigations conducted by members of our study team in communities throughout the city of Baltimore observed significant associ ations between the presence of CHWs and improvements in keeping appointments and continuity of care for HTN among those using emergency departments as their usual source of care; 78 reductions in BP and increases in entry of care among young African- American males;79 and improved HTN self- management for those randomized to receive home visits f rom CHWs as compared with those receiving traditional care.80 In combination with Nurse Practitioners, CHWs have been linked to statistically significant reductions in diastolic BP among African Americans with diabetes. 81 This is consistent with findings of reduced diastolic BP and systolic BP observed among a predominantly female, impoverished group of diabetic African Americans with a concurrent CVD diagnosis. 81 Community based approaches have also been shown to be effective in improving glycemic control and lipids among Hispanics82-85 and American Indians86 with diabetes. We have also demonstrated that CHWs serving as coaches to activate patients to participate more actively in their care are effective at improving shared decision-making and reducing BP (by 13.2-16.8 mm Hg) in ethnic minorities and poor persons with uncontrolled HTN. 87 6. System -Level Strategies. Policy makers, medical professionals, and patients are increasingly calling for health systems to adapt to better meet the needs of diverse populations. Although equity has been integral to the definition of high -quality health care, 88 in practice addressing heal th care disparities and promoting health equity have lagged behind other concerns such as reducing medical error and improving patient satisfaction. While the Institute of Medicine and other organizations have highlighted the need for a learning healthcare system, including in the area of health equity, a true learning healthcare system remains elusive. 89 In previous work, we found that health care personnel perceived strong organizational orientation toward quality and patient centeredness in their practic e network, but lower percentages perceived strong organizational cultural competency.90 Larger percentages of survey respondents perceived barriers to addressing disparities than barriers to improving safety and quality, suggesting that leadership may face more challenges in supporting interventions to reduce disparities.90 C. Scientific justification for the study 1. Study Approaches to Address Critical Research Gaps. To support the need for our study, w e present key conclusions drawn from 1) our rigorous r eview of the recent medical and social sciences literature on critical knowledge gaps in interventions developed to reduce BP control and overall CVD risk in underserved populations and 2) recommendations by major professional societies, such as the AHA and American Diabetes Association in Table 1 on the following page . We included elements of the PICOTS ( Population, I ntervention, Comparator, Outcome, T imeframe, Setting) Framework to facilitate systematic identification and characterization of critical rese arch gaps.91 Additionally, we describe current intervention gaps in 1) addressing patient centeredness and engagement of support networks, and 2) sustainability and translation into practice. 2. Our Innovative Study Approaches. Within the right hand column o f Table 1, we describe our innovative approaches designed to directly address gaps and reduce HTN disparities. In summary, our practice -based collaborative care team intervention , which is based upon the chronic care model (CCM),92 is pragmatic in that we will utilize existing staff infrastructure. Incorporation of subspecialist advice into the patient care plan for minority and socioeconomically disadvantaged patients as part of a stepped care approach is also a highly innovative strategy to address access barriers. The CCM is an effective approach to successfully manage patients with HTN, CVD and multiple co -morbidities, such as diabetes and depression42,93-96 but its use to reduce health disparities has been limited. The inclusion"
5,page_5,"JHU Protocol | 10.15.21 5 of a community -based contextualized care intervention delivered by a CHW in the CCM is also novel. We will rigorously test the added benefit of a stepped care approach based on patient attainment of BP control. This approach includes either specialist consultation; a community -based component that engages patients’ families and social networks; or both. Further, we will actively engage s takeholders to ensure that these approaches are achievable, sustainable, and scalable to other settings. 3. Significance of the Proposed Study . Our study will add tremendous value to current efforts to reduce HTN disparities among underserved populations. Fir st, in addition to benefiting patients’ self - management goals, activation levels, and BP control, identifying effective mechanisms through which patients can achieve better overall CVD risk control is extremely beneficial to providers and insurers facing critical decisions about how best to provide adjunctive behavioral approaches to enhance effectiveness of prescribed therapies among high -risk patients in real-world settings. Second, patient- centered interventions guided by patients, providers, and other stakeholders may be more powerful and more sustainable than interventions developed without such input. Third, combined practice site and community- based interventions training patients in CVD risk -management and decision-making skills should have a broader impact on the health of patients’ communities by providing patients and their family members and friends with skills they can apply to their own health conditions and to the prevention of future CVD risk development. Finally, rigorously evaluated interventions that demonstrate the feasibility of leveraging existing resources in routine primary care should provide health care providers and policy makers with the confidence to endorse the widespread use of similar interventions in a variety of healthcare pra ctice settings that serve at -risk populations."
6,page_6,"JHU Protocol | 10.15.21 6 Table 1: Critical Gaps in Current Literature to Reduce CVD Disparities and Innovative Ways to Address Them PICOTS Framework CRITICAL GAPS in Existing Clinic- Based Interventions CRITICAL GAPS in Existing Community -Based Interventions Our INNOVATIVE Study Approaches to Address Gaps Intervention Few clinical interventions have used collaborative and coordinated care among primary care providers, specialists, nurses, pharmacists, social workers, and other key team members to improve multiple CVD risk factors. Research is needed to better describe the required level of intervention intensity and detailed descriptions of successful CHW components (e.g., CHW education, training, expertise, supervision, attrition, satisfaction) for effectively improving outcomes. 15,74,97,98 We will measure and document specific components of our collaborative care (CC) intervention (e.g., team dynamics, adherence to guidelines, relationships with patients) and CHW intervention (e.g., CHW personal traits, training) exposure to specialist consultation, that are critical for achieving improved CVD- risk reduction. Comparator Unknown whether multi -level interventions are more effective than those targeting only patient factors, and which health system QI interventions are most effective. 15 Studies are needed to compare the effectiveness of different types of multi-level interventions (with detailed justification for the choice of comparators) across multiple patient populations. 15,98 Our study will compare the effectiveness of enhanced standard of care with a clinic- based multi-level intervention with the added value of a CHW intervention or specialist consultation in reducing CVD risk factors in diverse, high-risk patient groups. Outcome Little evidence testing whether health system QI interventions are effective at reducing CVD disparities. 15 Many analyses of study outcomes are limited by small sample sizes.93 The evidence base is limited by variations in the specific confounders and effect modifiers that investigators have included or controlled for in their analyses of intervention effectiveness on patient outcomes. 98 We will employ rigorous statistical methods to appropriately control for factors that may influence the observed effect of our CC interventions on reducing disparities in a large population with CVD-risk factors. We are recruiting a large sample with adequate power for subgroup analyses. Timeframe Most interventions are short - term (<12 months) and do not allow for the measurement of long-term clinical endpoints.93,99 Little is known about the required duration for interventions shown to be effective at addressing CVD disparities.15 We will implement our interventions over a 2 - year time frame with detailed documentation about intervention duration and long-term outcome measurements (up to 36 months). Setting Many existing studies are conducted at single clinical sites.93 More studies are needed to create effective linkages between the community and clinic -based systems to also address social barriers and community factors influencing patient outcomes. 101 There is little evidence on the comparative effectiveness of CHW programs implemented within patients’ homes compared to within clinical settings. 100 We will compare a clinic -based intervention to one that adds a community-based component and/or specialist consultation among 1,890 underserved patients receiving care at 30 community-based primary care practices, many of which are Federally Qualified Health Centers (FQHCs) in Maryland with underserved minority populations. *Patient Centeredness & Engagement of Social Networks Most existing clinical programs have not actively built collaborations between patients, social networks, communities, minority-serving health systems, and large- scale medical research institutions. 99,101 Little evidence about patient knowledge, comfort, and satisfaction with CHWs and what role patients ideally want and expect CHWs to play in empowering them to engage in their disease management.74,98 We will develop patient and family and community-centered interventions to enhance patient engagement in HTN control and broad CVD-risk reduction using CBPR principles. We will use validated tools to measure patient goal attainment, preferences, and experiences with the interventions. *Sustainability & Translation into Practice Rigorously designed studies a re needed to demonstrate sustainability of effective clinical interventions and models for program reimbursement. 79 Policy aspects of CHW programs (e.g., reimbursement for services, integration into healthcare practice, credentialing, sustainability) and lessons learned need to be examined and translated into guidelines and protocols. 74 We are actively engagin g multiple stakeholders throughout the study, and we will utilize existing clinical staff infrastructure to improve likelihood of sustainability and translation into practice."
7,page_7,"JHU Protocol | 10.15.21 7 Section 2: Objectives A. UH2 Aims UH2 Planning Phase Specific Aim 1: In the UH2 planning year, we worked collaboratively with our community of stakeholders and health system partners in all aspects of the study, from study design, to identification of patient-centered outcomes, to developing protocols, measures and toolkits that will meet the needs of the study and the interests of our group of constituents. 1. Health System Partnerships. We worked closely with our health system partners in the development of this protocol, and have received their letters of support to be part of this project. We have finalized these arrangements, through a series of meetings to formulate official agreements between Johns Hopkins School of Medicine and each health system. We have confirmed the specific practices within the health systems that will be participating. We spent time with practice staff – from office medical directors to medical assistants – to understand the cultures of each practice and assess the needs of each health system and each individual practice. As part of these partnerships, we have identified system -level physician and administrative champions for each partner, and continue to identify practice- level clinical champions and certified medical assistant (CMA) super -users. We execute d the necessary paperwork to formalize the partnerships before the implementation of the care management intervention. 2. Patient and Other Stakeholder Engagement. We established a community advisory board (CAB) in previous work, and we continued to build on this CAB, expanding and strengthening our ties to the community and with our key stakeholders in the business, government and local organization communities. Our CAB has representation of patients at local practices, and we will continue to invite patients from participating health systems to join us. W e have work ed closely with local organizations, large (e.g., the American Heart Association, the American Diabetes Association, the YMCA) and small (e.g., Sisters Together and Reaching, the Men and Families Center, the East Baltimore Collaborative), and have sought their continued involvement. In addition to our quarterly CAB meetings, our efforts included a dedicated staff member whose responsibilities focus on staying in touch with our health system, practice -level, and community stakeholders and keeping them informed of our progress, as well as participating in regular outreach efforts in the community (e.g., attending local health fairs, speaking at community events, and training lay health workers at local institutions). We consulted with our stakeholders during the protocol and instrument development stages, and we continue to do so, asking them to review materials, pilot -test surveys and be test subjects in training sessions for interventionists. Using a community-based participatory approach, we will continue to review and update the bylaws established by our current CAB that outline the roles and decision-making authority of patients and other stakeholders in the design, monitoring, and dissemination of the current study. 3. Feasibility Study. We conduct ed a feasibility study to identify and address likely failure modes prior to full implementation in the first cohort. We identified a practice site from those assigned to the first cohort that was willing to allow us to conduct feasibility testing at its location. Actual involvement of the site staff was confined to reception services when patients came to the practice to meet with the study- team -provided care manager and providing EMR data about the patient to the care manager. We identified a list of pati ents eligible for the study from the EMR using the study selection criteria identified below and from this list selected a random sample of white patients, and selected all of the minority patients to create a pool of 200 patients. This sample allowed for a combined ineligible and refusal rate of 70%. We attempted to draw patients of White, Black and Hispanic background in 1/3-1/3- 1/3 proportions to match the planned study design; however the practice site had fewer eligible patients in the Black and Hispanic categories than would allow us to reach this goal. We tracked percent identified as eligible in each category, and reviewed enrollment rates carefully (see Table 2 below)."
8,page_8,"JHU Protocol | 10.15.21 8 Patients received letters co -signed by the study lead and the practice medical di rector inviting them to participate in the feasibility test. Research assistants contacted potentially eligible patients that did not return an opt -out postcard by phone to ascertain their willingness to participate, further screen for eligibility, and to obtain oral consent. We tracked the percent agreeing to participate in each racial/ethnic category. The consent form provided specific details of the feasibility study. Patients who participated in the feasibility study are allowed to participate in the full study; however, they still need to be eligible based on the EMR pull, and need to be screened, consented and re- take the baseline patient survey. We collected screening and baseline surveys from identified patients with a goal to reach 60 (to allow a margin of as much as 50% attrition before completion of the First Intervention Visit). We monitored refusals to participate and the rate of failure to complete the survey (again by race/ethnicity). During the conduct of the telephone surveys, we identified problems, errors, and participation and completion barriers and will be discussing some of these with the CAB in March to identify potential solutions, such as patients who only speak Spanish. Examples of problems that we identified and have already corr ected are: a. Inadvertent recruitment of spouse of the eligible patient: the recruiter thought that it was a woman’s name and asked for “Mrs.” John Doe. We have revised the screener to have the recruiter ask for the patient by name, without a title, and to also have the sex of the patient “piped” into the screener. b. Identified another ICD code for end stage renal disease that was not included on our specifications for the EMR data pull of potentially eligible patients. We added the code N18.5 (chronic kidney disease, stage V) to our exclusion criteria and a question on the screener about whether the patient is on dialysis in order to exclude those with CKD, who have recently progressed to dialysis. Research assistants scheduled patients who responded t o the telephone survey for a First Intervention Visit (FIV), with a goal of 30 (to allow as much as 33% attrition for no -shows). We tracked the percentage in each racial and ethnic category agreeing to and completing the FIV. We monitored the length of time to complete enrollment of the feasibility sample, dropout rates and no-show rates, allowing for a margin of up to 30% attrition. The majority of the FIVs were conducted at the practice location in an office setting by a nurse member of the research team who acted in the Care Manager (CM) role for this test. Additional visits were conducted via telephone. Finally, the care manager conducted FIVs until all willing patients were seen. We anticipated that at least 20 would participate fully. During this phase of the feasibility study, we recorded: a. The average time spent with each patient planning their care b. The applicability of the available protocols (e.g., are protocols adequate, are other protocols needed) c. The number of patients anticipated to need specialist consultation and/or assignment of a CHW. d. The final racial and ethnic distribution among the full- participation group. We will also assess the number of Medicaid and commercial insurance patients included. We made notes of lessons for scheduling, FI V agenda, the care protocols, and the patient survey as we parse the results of the feasibility study. Table 2 shows the recruitment outcomes of the feasibility study."
9,page_9,"JHU Protocol | 10.15.21 9 Table 2: RICH LIFE Project Feasibility Study Recruitment Report All Patients African American Hispanic White Invitations mailed 200 (100) 40 (20) 8 (4) 152 (76) Returned by post office 0 (0) 0 (0) 0 (0) 0 (0) Returned opt -out post card 15 (8) 1 (2) 0 (0) 14 (9) Patients to be contacted 185 (92) 39 (98) 8 (100) 138 (91) Not attempted t o contact 27 (15) 0 (0) 0 (0) 27 (20) Attempted to contact 158 (85) 39 (100) 8 (100) 111 (80) Unable to contact 63 (40) 13 (33) 2 (25) 48 (43) Incorrect person contacted* 1 (1) 0 (0) 1 (12) 0 (0) Contacted 94 (60) 26 (67) 5 (62) 63 (57) Not interested 41 (44) 13 (50) 3 (60) 25 (40) Undecided/call back 13 (14) 2 (8) 1 (20) 10 (16) Screened 40 (43) 11 (42) 1 (20) 28 (44) Ineligible 7 (18) 2 (18) 0 (0) 5 (18) Eligible 33 (82) 9 (82) 1 (100) 23 (82) Not interested 3 (9) 0 (0) 1 (100) 2 (9) Undecided/ call back 5 (15) 2 (22) 0 3 (13) Consented 25 (76) 7 (78) 0 18 (78) Undecided/call back 3 (12) 2 (29) 0 1 (6) Baseline survey completed 22 (88) 5 (71) 0 17 (94) Care manager visit 19 (86) 4 (80) 0 15 (88) * Note: there was one person who was not on ou r recruitment list who was incorrectly recruited, screened, consented, and completed the baseline survey. She was the wife of the Hispanic patient that we did not attempt to contact. Her data are not included in the table. i. UH2 Hypothesis : We will be able to successfully engage our stakeholders to design and perform a feasibility study based on our grant proposal. ii. The UH2 hypothesis was sustained. B. UH3 Aims 1. UH3 Specific Aim 1: We will conduct a pragmatic clinical trial to test practical, scalable approaches to close the HTN disparities gap. We will compare the effectiveness of a standard of care plus (SCP) intervention (that includes audit/feedback and education) to practice -based collaborative care with a stepped approach (CC/stepped care) that includ es community- based contextualized care delivered by a CHW , specialist consultation, or both, to reduce disparities in HTN and improve patient- centered outcomes (self -management behaviors, goal attainment, activation). 2. UH3 Specific Aim 2: We will d emonstrate patient and stakeholder engagement by applying principles of community-based participatory research (CBPR) to build upon our existing local community board and engage a regional and national stakeholder advisory panel. 3. UH3 Specific Aim 3: This study will inform the important question of whether a multi- level intervention that adds a contextualized (i.e., patient and family- centered, community-based) approach to practice -based CC/stepped care will be more effective than SCP alone at improving clinical outcomes and self -management behaviors among patients with hypertension and other common comorbidities and CVD risk factors."
10,page_10,"JHU Protocol | 10.15.21 10 i. UH3 Hypothesis : The multi-level intervention with a contextualized (i.e., patient and family- centered, community-based) approach to practice -based CC/Stepped Care will be more effective than SCP in improving clinical outcomes and self- management behaviors among hypertensive patients with other designated conditions."
11,page_11,"JHU Protocol | 10.15.21 11 Section 3: Design A. Research design/methodology 1. The design of thi s study is a prospective cluster -randomized trial of superiority of CC/Stepped Care over SCP. Evidence exists for the effectiveness of both intervention approaches; however, they have not been sustained or translated to practice in real -world settings cari ng for underserved populations. Further, the proposed comparison has not been done, using a pragmatic approach, to address HTN management to reduce disparities in patient outcomes (see Section 1: Background/Significance). B. Study population: Inclusion/exclusion criteria 1. Inclusion Criteria: a. Practice sites: Thirty primary care clinics in the mid -Atlantic have been enrolled and randomized. Practices must either be Federally Qualified Health Centers (FQHCs) or serve diverse racial and ethnic populations. b. Patients: An average of s ixty-three adult patients from each of the 30 participating practices, for a total of 1,890 patients, will be enrolled. Inclusion/exclusion criteria are listed in Table 3. c. We include a focus on co- morbidities for several reasons: i. Patient and provider stakeholders who participated in our prior HTN intervention studies indicated that they needed guidance in addressing non- HTN co -morbidities ii. HTN, diabetes, hyperlipidemia, and coronary heart disease (CHD) are co-existing illnesses with compatible management guidelines, making them amenable to a collaborative care approach; 95,102 iii. Depression is highly prevalent in patients with CHD103 and diabetes104 and associated with poor self-management, complications, and death iv. Smoking is common in individuals with depression,105,106 contributing to CHD and diabetes risk. v. Finally, in a recent Institute of Medicine report, “Living Well with Chronic Disease,” CHD, diabetes, and depression were highlighted as 3 of 7 co- morbidities associated with poor patient outcomes, increased disability, and high healthcare costs. 107 These conditions were identified as being clinically important; affecting patient function and disability; impacting communities, families, and caregivers; and presenting important public health challenges. 2. Exclusion Criteria : We would like to include as many people who are eligible and able to participate in the study as possible, and therefore are only excluding patients with the characteristics listed in Table 3."
