Unnamed: 0,PageNo,Text
10,page_11,"['2016N298481_02', 'CONFIDENTIAL', '-', '205270', 'Objectives and Endpoints:', 'Objective', 'Endpoint', 'Primary', 'Mean change in Hgb between baseline', 'To compare the efficacy of daprodustat to', 'and the Evaluation Period (EP, mean', 'placebo on mean change in Hgb levels', 'over Week 24 to Week 28)', 'Principal Secondary', 'To compare the proportion of participants', '% of participants having a Hgb increase', 'achieving increases in Hgb when treated', 'of >1.0 g/dL to EP.', 'with daprodustat versus placebo.', 'To compare daprodustat to placebo for', 'Mean Change in 36-item Short Form', 'health related quality-of-life', 'health survey (SF-36) Vitality domain,', 'between baseline and Week 28', 'Safety', 'To compare the safety and tolerability of', 'Incidence and severity of adverse events', 'daprodustat to placebo', '(AEs) and serious adverse events (SAEs)', 'including AEs of special interest and', 'adjudicated Major Adverse', 'Cardiovascular Events (MACE)', '(composite of all-cause mortality, non-fatal MI', 'and non-fatal stroke)', 'Reasons for discontinuation of study', 'treatment', 'Absolute values and changes from', 'baseline in laboratory parameters, blood', 'pressure (BP) and heart rate (HR)', 'Overall Design:', 'This is a 28-week, randomized, double-blind, placebo-controlled, parallel-group, multi-', 'center Phase 3 study in participants with anemia associated with CKD who are not on', 'dialysis. This study will enroll participants with renal anemia who have a HemoCue Hgb', '8.5 to 10.0 g/dL, inclusive, as measured by a point-of-care Hgb analyser (HemoCue).', 'These participants will also have limited history of IV iron use and are rhEPO naïve prior', 'to screening and randomization.', 'Study treatment doses for participants in both treatment arms will be titrated based upon', 'HemoCue Hgb. Dose modifications for all participants will follow a protocol-specified', 'dose adjustment algorithm to achieve and maintain Hgb within the target range of 11.0 to', '12.0 g/dL, inclusive. Dose changes will be made programmatically by the Interactive', 'Response Technology (IRT) system for both randomized treatment arms.', '11']"
11,page_12,"['2016N298481_02', 'CONFIDENTIAL', '205270', 'A rescue algorithm is provided to minimize participants having an inadequate response to', 'treatment of their anemia after a fixed period of time and to enable rescue therapy to be', 'provided to the participants based on local clinical practice.', 'A Clinical Events Committee (CEC) will adjudicate any event suspected to be a major', 'adverse cardiovascular event (MACE).', 'Number of Participants:', 'Approximately 1200 participants will be screened to achieve approximately 600', 'randomized and approximately 540 evaluable participants for an estimated total of 270', 'evaluable participants per treatment arm.', 'Treatment Groups and Duration:', 'Participants will be randomized 1:1 to receive either daprodustat or matching placebo', 'tablets, administered once daily.', 'This study includes a 4-week Screening period, a 28-week Treatment period, and a 4-', 'week Follow-up period. The total duration of study participation for each participant will', 'be approximately 36 weeks.', '12']"
13,page_14,"['2016N298481_02', 'CONFIDENTIAL', '205270', 'Protocol activity (visits 1 week)', 'Treatment Period: Day 1 through Week 28', 'Screening', 'Follow-up Visit', '(Note: All visit timings are relative to Day 1)', 'Week -41', 'Screening', 'Day 1', 'Week 2', 'Full study visit', 'Abbreviated study visit', '(4 weeks post', 'Week 28', 'Unscheduled', 'Week -2', 'Week 4, 16', 'Week 8, 12, 20, 24', 'treatment)', 'Genetic Sample 14', 'X', '1.', 'SBP, systolic blood pressure; DBP, diastolic blood pressure; HR, heart rate; ECG, electrocardiogram; FSH, follicle stimulating hormone; FRP, Females of Reproductive Potential;', 'WOCBP, woman of childbearing potential; hCG, human chorionic gonadotropin; UIBC, unsaturated iron binding capacity; hsCRP, high sensitivity C-reactive protein, serious', 'adverse events (SAEs); ADPKD autosomal dominant polycystic kidney disease. If participants does not meet eligibility criteria during/after week -4, then week -2 visit should not be', 'conducted.', '2. Only history related to medical and hospitalization will be re-checked on Day 1 to confirm eligibility prior to randomization.', '3.', 'SBP/DBP, HR (single readings unless otherwise indicated)', '4.', 'ECG can be conducted at Week -2 visit or at Day 1 prior to randomization.', '5.', 'Ultrasound of the kidneys and adrenal glands must be performed prior to randomization. The screening period may be extended up to 2 weeks if needed. A documented', 'ultrasound of the kidneys within the 6 months prior to screening may be used to assess entry criteria provided the size and cyst category has been reported. If a more sensitive', 'imaging study [e.g., magnetic resonance imaging (MRI), computed tomography (CT)] has been performed within this timeframe and a report is available, this may be used in place', 'of the ultrasound. See Section 9.5.4.', '6.', 'Record historical and current anemia therapy in eCRF, if applicable.', '7.', 'See details on rescue in Section 7.7.2.', '8.', 'Repeat pregnancy test prior to study treatment re-administration if it is interrupted for >7 days and there was also a lapse in contraceptive use, regardless of the reason for the', 'interruption. If a participant becomes post-menopausal (as defined in Section 12.4) during the study, pregnancy tests are no longer required.', '9.', 'Participant are eligible for randomization if the initial HemoCue Hgb assessment is from 8.5 to 10.0 g/dL. Repeat a HemoCue Hgb assessment using the same sample and use', 'the average of the two values for randomization only if the initial assessment is from 10.1 to 10.3 g/dL, or if the initial assessment is from 8.2 to 8.4 g/dL. If the average Hgb is also', 'from 10.1 to 10.3 or from 8.2 to 8.4 g/dL then another HemoCue Hgb assessment can be performed using a new blood sample on the Day 1 visit date. All HemoCue Hgb', 'assessments, starting after Day 1 to end of treatment visit, should be conducted at the end of the study visit, only prior to study medication or rescue medication dispensation.', '10.', 'See details on hematology, clinical chemistry and other laboratory assessments in Section 9.5.5.', '11. Ferritin, total iron and UIBC will be assessed at Week 16, but not at Week 4.', '12. Participants will be provided a Visit Reminder Card (at Day 1) along with the verbal instruction to promptly inform site staff of any health changes. Health changes include new', 'symptoms or medical problems (e.g., pregnancy, hospitalizations) and changes in medication', '13. Only SAEs assessed as related to study participation or a GSK product are collected at this visit. See Section 9.3.1 for additional details', '14. Informed consent for optional Genetic research should be obtained before collecting a sample. To minimize potential study bias, the genetic sample should be collected on Day 1.', '15. France sites and participants with history of ADPKD only (to be performed at or after the week 28 study visit or as soon as clinically feasibile prior to the Follow-up visit (see', 'Section 9.5.4) for additional details).', '16. For Argentinian sites only and only in WOCB', '17. New doses of study treatment will be provided to participants starting from Day 1 to week 24 visit as indicated by IRT System. Study treatment may be dispensed at week 2 or', 'unscheduled visit only if indicated by IRT system, otherwise participants should continue on study treatment dispensed at prior study', 'visit.', '14']"
14,page_15,"['2016N298481_02', 'CONFIDENTIAL', '205270', 'Table 2', 'Schedule of Activities for Patient Reported Outcomes and Actigraphy', 'Protocol Activity', 'Treatment Period: Day 1 through Week 28', 'Follow-up', '(visits +1 week)', 'Screening', 'Week -2', 'Day', 'Week', 'Week', 'Week', 'Week', 'Week', 'Week', 'Week', 'Visit', '(Note: All visit timings are relative to Day 1)', 'Week -4', '1', '4', '8', '12', '16', '20', '24', '28', 'Dispense Actigraphy Device', 'X', 'X', 'Actigraphy (wearable)1,5,6', 'X', 'X', 'X', 'X', 'Patient Global Impression of Severity (PGI-S)2,3', 'X', 'X', 'X', 'X', 'X', 'Patient Global Impression of Change (PGI-C)2,3', 'X', 'X', 'X', 'Symptoms of aCKD questionnaire2', 'X', 'X', 'X', 'X', 'X', 'Short Form 36 (SF-36)2,3', 'X', 'X', 'X', 'EuroQol 5 Dimension 5 Level Health Utility', 'Index (EQ-5D-5L) and EuroQol Visual', 'X', 'X', 'X', 'X', 'Analogue Scale (EQ-VAS) 2,3,4', 'Work Productivity and Activity Impairment', 'X', 'X', 'X', 'X', 'Questionnaire (WPAI-ANS-CPV)2,3', 'Healthcare resource utilization (participants-', 'X', 'X', 'reported)', '1. Actigraphy device should be worn for 7 days prior to the study visits indicated in Table 2 and as described in Section 9.7. Data will be downloaded from device during the study visits', 'indicated in Table 2.', '2. Patient reported outcomes questionnaire should be completed as the first assessment, prior to conducting any other visit assessments (e.g. Adverse event assessment, HemoCue', 'Hgb, etc.)', '3. Subjects who are unable to or require assistance to read must not complete the questionnaires', '4. Only in selected countries. See Section 12.8 (Appendix 8).', '5. Sites can contact subjects to wear the actigraphy device 7 days prior to study visit.', '6. All efforts should be made to encourage participation in this activity monitoring assessment. If a participant is unable to take part, the reason should be documented, and they may', 'continue in the study.', '15']"
15,page_16,"['2016N298481_02', 'CONFIDENTIAL', '205270', 'Table 3', 'Schedule of Activities for Participants Permanently Discontinuing Study Treatment', 'Protocol Activity', 'Early Treatment Discontinuation Visit', 'Day 1 through Week 28', '(Note: All visit timings are relative to Day 1)', '(within 2 weeks of discontinuing', 'study treatment)', 'Week 4, 16, 28 2 weeks', 'Week 24', 'Unscheduled', 'IRT system call', 'X', 'X', 'X', 'X', 'SBP/DBP, HR', 'X (Triplicate)', 'X', 'ECG', 'X', 'Rescue medication 1,2', 'X', 'X', 'X', 'Urine (serum if transitioned to dialysis)', 'X7', 'pregnancy test (WOCBP only)', 'HemoCue Hgb', 'X', 'X', 'X', 'X', 'Hematology³', 'X', 'X', 'Hgb Only', 'Clinical chemistry³', 'X', 'X', 'Iron Panel', 'X', 'Hospitalization¹, transition to dialysis¹', 'X', 'X', 'X', 'X', 'hsCRP', 'X', 'Adverse event assessment', 'X', 'X', 'X', 'X', 'Review concomitant medications', 'X', 'X', 'X', 'X', 'Actigraphy 4', 'X9', 'X', 'CKD-AQ8', 'X', 'X', 'PGI-S, PGI-C 8', 'X', 'X', 'SF-36 8', 'X', 'X', 'EQ-5D-5L& EQ-VAS 6,8', 'X', 'X', 'WPAI-ANS-CPV 5,8', 'X', 'X', 'ADPKD participant only: Ultrasound', 'X10', 'Healthcare resource utilization (participant-', 'X', 'reported)', '1. Record in eCRF, if applicable.', '2. See details on rescue in Section 7.7.2.', '3. See details on hematology and clinical chemistry in Section 9.5.5.', '4. Actigraphy device could be worn for 7 days prior to the study visit indicated in Table 3 and as described in Section 9.7. Data will be downloaded at the Discontinuation Visit.', '5. If local dialect or language is available.', '6. Only in selected countries. See Section 12.8 (Appendix 8).', '16']"
16,page_17,"['2016N298481_02', 'CONFIDENTIAL', '205270', '7. Additional pregnancy test required at subsequent visit. Must be at least 4 weeks after the end of randomized treatment.', '8. Subjects who are unable to or require assistance to read must not complete the questionnaires.', '9. If actigraphy device is available,participants should be instructed to wear actigraphy device for up to 7 days prior to early treatment discontinuation visit.', '10 Ultrasound of the kidneys will be performed within one month of discontinuing study treatment, or as soon as clinically feasible. See Section 9.5.4 for additional details.', '17']"
17,page_18,"['2016N298481_02', 'CONFIDENTIAL', '205270', '3.', 'INTRODUCTION', '3.1.', 'Study Rationale', 'Daprodustat (GSK1278863) is a hypoxia-inducible factor prolyl hydroxylase inhibitor', '(HIF-PHI) currently being investigated as a treatment for anemia associated with chronic', 'kidney disease (CKD) in both dialysis and non-dialysis participants with safety and', 'efficacy having been demonstrated in clinical trials up to 24 weeks duration. Both pre-', 'clinical and clinical data show that daprodustat-stimulates erythropoietin (EPO)', 'production, increases erythropoiesis and thus elevates hemoglobin (Hgb) concentrations.', 'These increases in Hgb are achieved with peak plasma EPO exposures substantially', 'lower than those observed with recombinant human EPO (rhEPO). Data from completed', 'clinical and preclinical studies are provided in the current Investigator Brochure [IB', 'GlaxoSmithKline Document number RM2008/00267/07] and IB supplement(s).', 'Daprodustat has been evaluated as a treatment for anemia associated with CKD in non-', 'dialysis participants. A Phase 2A clinical trial in non-dialysis participants with anemia', 'associated with CKD demonstrated that fixed-dose daprodustat was better than placebo in', 'increasing Hgb over 4 weeks [Holdstock, 2016].', 'Another Phase 2B, randomized, controlled 24-week parallel-group, multi-center study', 'also evaluated daprodustat safety and efficacy in a non-dialysis population that were', 'either naïve or previously treated with rhEPO [GlaxoSmithKline Document Number', '2014N219818_00]. Titration of daprodustat demonstrated efficacy by achieving mean', 'Hgb within target range with an adverse event rate consistent with the clinical events that', 'generally occur in the CKD population.', 'Blood Hgb concentration, transferrin saturation and ferritin levels are the primary', 'markers for evaluation of anemia in CKD patients. Initially, non-dialysis CKD patients', 'receive iron therapy, to ensure that sufficient iron is available for erythropoiesis prior to', 'initiating rhEPO therapy for anemia treatment. A one to three month trial of oral iron is', 'generally recommended in rhEPO naïve patients with non-dialysis CKD [KDIGO, 2012).', 'However, if poor compliance is seen with oral iron therapy due to lack of efficacy or', 'gastrointestinal intolerance, IV iron may be administered in patients requiring iron', 'repletion. rhEPO therapy is generally initiated in non-dialysis CKD patients once Hgb', 'has dropped below 10 g/dL and benefits outweigh the risks associated with this therapy', '[KDIGO, 2012]. .Thus, the question arises whether initiation of treatment with a PHI, such', 'as daprodustat, in the rhEPO naïve and iron sufficient population might result in Hgb', 'benefits that are reflected as benefits in symptoms and quality of life.', 'This Phase 3 double blind study will be conducted to assess efficacy, safety and effects', 'on quality-of-life of daprodustat compared to placebo. Study participants will be rhEPO', 'naïve and had limited IV iron exposure at baseline. The purpose of this study is to', 'evaluate the effect of daprodustat, on hemoglobin response and quality of life, compared', 'to placebo over an extended period, i.e. 28 weeks, unlike the the previous study which', 'evaluated the response over 4 weeks. The primary endpoint is Hgb superiority of', 'daprodustat versus placebo, and a principal secondary endpoint includes measures of', 'health related quality-of-life.', '18']"
33,page_34,"['2016N298481_02', 'CONFIDENTIAL', '205270', 'Objectives', 'Endpoints', 'baseline in laboratory parameters, Blood', 'Pressure (BP) and heart rate (HR)', 'Secondary', 'To compare daprodustat to placebo on', 'N (%) responders, defined as mean Hgb', 'additional Hgb endpoints', 'within range.', '% time Hgb in range', 'Mean change in Hgb from baseline.', 'To compare daprodustat to placebo on', 'Time to stopping study treatment due to', 'the time to rescue', 'meeting rescue criteria', 'To compare daprodustat to placebo for', 'Mean change from baseline by domain', 'improving symptoms of anemia of CKD', 'and overall symptom score on the', 'Chronic Kidney Disease - Anemia', 'Questionnaire (CKD-AQ) symptom', 'questionnaire', 'To compare daprodustat to placebo on', 'Change from baseline in PGI-S', 'the severity and change in symptoms', 'To compare daprodustat to placebo for', 'Mean Change in individual items of the', 'improving health related quality-of-life', 'SF-36 Vitality Domain from baseline.', 'Mean Change in SF-36 Physical', 'Function domain from baseline.', 'To compare daprodustat to placebo on', 'N (%) of patients currently employed on', 'improving work productivity and regular', 'the WPAI-ANS-CPV', 'daily activity impairment', 'Change from baseline in percent and', 'mean hours work time missed on the', 'WPAI-ANS-CPVChange from baseline in', 'percent impaired (equivalent) on the', 'WPAI-ANS-CPV', 'Change from baseline in overall percent', 'work impairment (equivalent) on the', 'WPAI-ANS-CPV', 'Change from baseline in percent activity', 'impairment on the WPAI-ANS-CPV', 'To compare daprodustat to placebo on', 'Change in EQ-5D-5L utility score from', 'improving health status', 'baseline.', 'Change in EQ-VAS score from baseline.', 'To compare daprodustat to placebo on', 'Change from baseline in SBP, DBP, and', 'BP', 'MAP at week 28', 'N (%) with at least one BP exacerbation', 'event during the study', '34']"
34,page_35,"['2016N298481_02', 'CONFIDENTIAL', '205270', 'Objectives', 'Enppoints', 'Exploratory', 'Further evaluations to compare', '% of time Hgb is above or below range.', 'daprodustat to placebo on Hgb variability', 'Number (%) of participants with mean', 'Hgb above and below range.', 'Number (%) of participants with a', 'Hgb<7.5 g/dL', 'Number (%) of participants with a >2', 'g/dL increase in Hgb within any 4 week', 'period up to EP', 'N (%) of participants with a Hgb value', '13 g/dL during the treatment period', 'Number of times Hgb 13 g/dL during', 'the treatment period', '% of time Hgb 13 g/dL during the', 'treatment period.', 'Further evaluation to compare', '% of participants who achieved a Hgb', 'daprodustat to placebo on Hgb change.', 'increase of 1.0g/dL', '% of time Hgb increase of 1.0 g/dL', 'from baseline', '% of participant having a Hgb increase of', '1.0 g/dL at each post-baseline visit.', '% of participants who achieved and', 'maintained a Hgb increase of 1.0g/dL', 'between baseline and EP.', 'To compare daprodustat to placebo on', 'Observed and change from baseline in', 'measures of iron status, rhEPO and', 'hepcidin, ferritin, transferrin saturation,', 'Transfusion use', 'serum iron, total iron binding capacity', '(TIBC)', 'Average monthly oral iron', 'dose/participant (mg) to Week 28', 'N (%) of participants who reduced oral', 'iron supplementation from baseline', 'N (%) of participants requiring IV iron', 'each month.', 'Average monthly IV iron dose/participant', '(mg) to Week 28', 'Time to first IV iron, rhEPO and', 'Transfusion use', '35']"
36,page_37,"['2016N298481_0', 'CONFIDENTIAL', '205270', 'The total duration of study participation for each participant will be approximately 36', 'weeks.', 'Participants will be randomized 1:1 to receive either daprodustat or matching placebo', 'tablets. Participants will not be provided with the results of their HemoCue Hgb', 'assessment during their participation in the study.', 'Daprodustat and placebo doses for participants will be titrated based upon HemoCue', 'Hgb. Dose modifications for these participants will follow a protocol-specified dose', 'adjustment algorithm to achieve and maintain Hgb within the target range of 11.0 to 12.0', 'g/dL, inclusive. Dose changes will be made programmatically in a blinded fashion by the', 'IRT system in order to ensure that investigators and participants stay blinded to the study', 'treatment and the dose adjustments.', 'A rescue algorithm is provided to minimize participants having an inadequate response to', 'the treatment for their anemia for an extended period of time and to enable rescue therapy', 'to be provided to the participants based on local clinical practice. (Section 7.7.2)', 'Figure 1', 'Study Schematic', 'Treatment Period (28 Wks)', 'Screening', 'Daprodustat', 'Follow-up', 'Period', 'Visit', 'Achieve and Maintain Hgb between 11 to 12 g/dL', 'Week -4 &', 'Placebo', '4 wks after', 'Week -2', 'Last Dose', 'N=600 (1:1 randomization)', 'End of Treatment', 'Start of Treatment', 'Week 28', 'Randomization (Day 1)', '5.2.', 'Number of Participants', 'Approximately 1200 participants with anemia associated with CKD who are not on', 'dialysis will be screened to achieve approximately 600 randomized and to target', 'approximately 540 evaluable participants for an estimated total of 270 evaluable', 'participants with a 1:1 randomization per study treatment group.', '5.3.', 'Participant and Study Completion', 'A participant is considered to have completed the study if he/she has completed all', 'phases of the study including the Follow-up visit, which takes place 4 weeks after the end', 'of study treatment.', 'The end of the study is defined as the date of the last visit of the last participant in the', 'study or the last scheduled procedure shown in Table 1 of Schedule of Activities (SoA).', '37']"
