,Study Period,Initial Dose,Escalation, ,Up-Dosing, , ,Early
1,Study Visit,Day 1 [1],Day 2 [2],At Study Site,At 80 mg,At 300 mg,Unsched [3],Disc [4]
2,Interval,na,na,Every 2 weeks,Varies,Varies,Varies,Varies
3,Window (Days),na,na,3,+3,+3,na,+3
4,HRQOL Questionnaires and Bespoke Questions [5], , , , , , , 
5,EQ-5D [6],SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,x[7]
6,FAQL-PB [8],SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
7,HADS [8],SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
8,"FAQLQ, FAIM [9]",SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED x[7]
9,Bespoke global assessment of HRQOL,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
10,Bespoke assessment of control and confidence,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
11,Randomization,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
12,General Activities, , , , , , ,NOT_SELECTED
13,"Weight, height",SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
14,"Vital signs (blood pressure, heart rate, temperature)",SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
15,"ACT/C-ACT, SCORAD, TNSS (if completed at screening)",NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,X (optional),SELECTED X
16,PEFR [10],SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X (optional),SELECTED X
17,Asthma evaluation [11],NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X (optional),SELECTED X
18,Symptom-directed physical examination [12],NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
19,Complete physical examination [12],SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,X (optional),SELECTED X
20,Diet/food allergen exposure review,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
21,Food allergy instruction [13],SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,X (optional),SELECTED X
22,Contraception review,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X (optional),NOT_SELECTED
23,Adverse events review [14],SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
24,Concomitant medications review & instruction [15],SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
25,Study product administration [16],SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,X (optional),NOT_SELECTED
26,Study product dispensing [17],NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X (optional),NOT_SELECTED
27,Study product accountability,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X (optional),SELECTED X
28,Telephone call [18],NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X (optional),NOT_SELECTED
