 ,Screening, ,Placebo-Controlled,Phase, , ,Apremilast,Extension,Phaseb,Post-Treatment Observational Follow-upd
Visit Number,1,Baseline 2,3,4,5,6,7,8,9/ET°, 
Week,-35 to 0 days,0 (Day 1),2 ( 3 days),4 ( 3 days),16 ( 3 days),20 (= 4 days),32 ( 4 days),44 ( 4 days),52 (= 4 days),56 weeks (or 4 weeks after study discontinuation)
Informed consente,SELECTED X,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,-
Inclusion/Exclusion criteria,SELECTED X,SELECTED X,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,-
Demographics,SELECTED X,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,NOT_SELECTED -,NOT_SELECTED -,-
Medical history,SELECTED X,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,NOT_SELECTED -,-
Prior / concomitant medications or therapies,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED -
Clinical and Laboratory,Assessments, , , , , , , , ,NOT_SELECTED
Adverse events,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Pregnancy test and contraception education,SELECTED X,SELECTED X,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,NOT_SELECTED -,SELECTED X,NOT_SELECTED -
Vital signs,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED -
Height,SELECTED X,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,NOT_SELECTED -,NOT_SELECTED -
Weight,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED -
