, , , , ,Months,(+/-4 days), , ,Progression11
1,Protocol Procedures,Screening¹,M0 (Day 1),M3,M6,M9,M12,M18,NOT_SELECTED
2,Informed Consent,SELECTED X, ,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED, 
3,Inclusion/Exclusion Criteria,SELECTED X,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
4,Vital Signs,SELECTED X2, ,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
5,Physical Exam with ECOG,SELECTED X,NOT_SELECTED, , , , , ,NOT_SELECTED
6,"Complete Blood Count (CBC) with Platelet Count, Differential",SELECTED X,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
7,Comprehensive Metabolic Panel (CMP),SELECTED X,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
8,Urinalysis,SELECTED X,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
9,Testosterone,SELECTED X,NOT_SELECTED, , ,SELECTED, ,NOT_SELECTED,NOT_SELECTED
10,PSA,NOT_SELECTED,SELECTED X8,SELECTED X,SELECTED X,SELECTED X,SELECTED,SELECTED,SELECTED X
11,CT - Chest/Abdomen/Pelvis10,SELECTED X,NOT_SELECTED, ,X³,NOT_SELECTED, , ,SELECTED X
12,Whole Body Bone Scan,SELECTED X,NOT_SELECTED, , ,NOT_SELECTED, , ,SELECTED X
13,Archival Tissue Submission (if available),NOT_SELECTED,SELECTED X4,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
14,Fresh Tissue Collection,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED, ,NOT_SELECTED, ,NOT_SELECTED
15,Correlative Blood Collection6,NOT_SELECTED,SELECTED X8,SELECTED X,SELECTED, ,NOT_SELECTED,SELECTED,SELECTED X
16,ADT + Docetaxel or ADT + Abiraterone,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
17,"Questionnaires - FACT P, FACT/GOG-NTX, PROMIS Fatigue",NOT_SELECTED,SELECTED X8,SELECTED X, ,SELECTED X,SELECTED X,SELECTED,NOT_SELECTED
18,Adverse Event Collection13,NOT_SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X
19,Medical History,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
20,Exploratory Questionnaires¹2,NOT_SELECTED,NOT_SELECTED,SELECTED X, ,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED X
21,Extent of Metastases Form (Appendix 1),SELECTED X,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
