,ProcedurelAssessment,Visit 1 Screening / Baseline Day1,Visit 2 Day 7+1,Visit 3 Day 28+3,Visit 4 Day 56+3,Visit 5 Day 84+3
1,Informed consent,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
2,Review inclusion/exclusion criteria,SELECTED X,SELECTED X,SELECTED,SELECTED,SELECTED
3,Demographics,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
4,Medical history,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
5,Dental history,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
6,Current/concomitant medications,SELECTED X,SELECTED X,SELECTED,SELECTED,SELECTED
7,Urine pregnancy test4,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED
8,Clean dentures,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED
9,Well-made assessment of dentures,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
10,Denture bearing tissue score,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
11,Denture retention and stability assessment,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
12,OST examination edentulous,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED
13,Subject eligibility,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
14,Mucosal score assessment,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED
15,"Subject-completed questionnaires (Gum-Comfort, GOHAI and OHIP-Edent)",SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED
16,Randomization,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
17,"Dispense treatment, application instructions, diary (with diary completion instructions) and brushes³",SELECTED X,NOT_SELECTED,SELECTED,SELECTED X,NOT_SELECTED
18,Treatment usage demonstration¹,SELECTED X,SELECTED X,SELECTED,SELECTED,NOT_SELECTED
19,"Subject returns treatment, diary and brush5",NOT_SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED
20,Review of subject compliance (diaries and returned product),NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED
21,Return of treatment and brush to subjects¹,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
22,Return of diary to subjects,NOT_SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED
23,Subject removes dentures. All traces of adhesive from mouth confirmed absent by second examiner²,NOT_SELECTED,SELECTED X,SELECTED,SELECTED X,SELECTED X
24,Subject-completed sensory questionnaire¹,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED
25,Adverse events and Incidents,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED
26,Subject continuance,NOT_SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED
27,Study conclusion, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED
