,Protocol Activity, , , , ,Treatment,Period: Day,1 through,Week 28, , ,Follow-up
1,(visits +1 week) (Note: All visit timings are relative to Day 1),Screening Week -4,NOT_SELECTED Week -2,Day 1,Week 4,Week 8,Week 12,Week 16,Week 20,Week 24,Week 28,Visit
2,Dispense Actigraphy Device,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED
3,"Actigraphy (wearable)1,5,6",NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
4,"Patient Global Impression of Severity (PGI-S)2,3",NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
5,"Patient Global Impression of Change (PGI-C)2,3",NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
6,Symptoms of aCKD questionnaire2,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED, ,NOT_SELECTED,SELECTED X,NOT_SELECTED
7,"Short Form 36 (SF-36)2,3",NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
8,"EuroQol 5 Dimension 5 Level Health Utility Index (EQ-5D-5L) and EuroQol Visual Analogue Scale (EQ-VAS) 2,3,4",NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
9,"Work Productivity and Activity Impairment Questionnaire (WPAI-ANS-CPV)2,3",NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
10,Healthcare resource utilization (participants- reported),NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED,NOT_SELECTED
