Assessment,Source Data Type,Baseline 1 w/in 2 mos of phone screen and 14 weeks of intervention start,Baseline 2 w/in 6 wks of intervention start,Follow-up 1 0-7 days after intervention completion,Follow up 2 1-21 days after intervention completion
Alternative Uses Task,Paper,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X
Apathy Evaluation Scale,Paper,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Blood draw - biomarkers,Lab Report,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED
Consent,Paper,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Contact Form,Paper,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Demographics,Paper,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Expanded Short Physical Performance Battery,Paper,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
Falls Efficacy Scale,Paper,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Fullerton Advanced Balance Scale,Paper,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED
Gait Speed/Variability,Electronic,SELECTED X,NOT_SELECTED,SELECTED,SELECTED X
Geriatric Anxiety Scale,Paper,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Geriatric Depression Scale,Paper,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Medical History/RX,Paper,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
MoCA,Paper,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
MRI,Electronic,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Multisensory Reaction Time,Electronic,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X
Philadelphia Mindfulness Scale,Paper,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
Postural Sway,Electronic,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
QOL-AD,Paper,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED
RBANS,Paper,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X
Study Expectations,Paper,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Timed Up and Go,Paper,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
Alternative Uses Task,Paper,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Apathy Evaluation Scale (AES),Paper,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Blood draw - biomarkers,Lab Report,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED
Consent,Paper,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Contact Form,Paper,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Demographics,Paper,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Expanded Short Physical Performance Battery,Paper,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED
Falls Efficacy Scale,Paper,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Fullerton Advanced Balance Scale,Paper,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED
Gait Speed/Variability,Electronic,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED
Geriatric Anxiety Scale,Paper,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Geriatric Depression Scale,Paper,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Medical History/RX,Paper,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
MoCA,Paper,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
Multisensory Reaction Time,Electronic,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X
NEO-FFI,Paper,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
NPI-Q,Paper,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Philadelphia Mindfulness Scale,Paper,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
Postural Sway,Electronic,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED
RBANS,Paper,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X
SF-36,Paper,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Study Expectations,Paper,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Timed Up and Go,Paper,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
Zarit Caregiver Burden Scale,Paper,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
