, , , , ,Treatment Period, , 
1,Period,Screening Visit,Baseline Visit, , , ,Final Visit (End of Treatment)
2,Week,Week 0,Week 1 (1 week 1 day after screening),Week 2 (1 day),Week 3 (1 day),Week 4 (1 day),Week 5 (+1 day)
3,Visit,1,2,3,At home,At home,SELECTED 4
4,Informed Consent,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
5,Demographics,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
6,Inclusion/Exclusion Criteria,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
7,Medical History/ Wound History,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
8,Concomitant Medication Review,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
9,Vital Signst,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
10,Physical Examination,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
11,Brief Physical Examination,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
12,Collect Blood for Clinical Laboratory Tests,SELECTED Xc,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
13,Wound-QoL Questionnaired,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
14,Wound Assessmente,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
15,Measure Wound(s) Size Using Study Rulers,SELECTED X,SELECTED XI,SELECTED Xf,NOT_SELECTED,NOT_SELECTED,SELECTED XI
16,Photograph Wound(s) Using Study Camera,NOT_SELECTED,SELECTED XI,SELECTED XI,NOT_SELECTED,NOT_SELECTED,SELECTED XI
17,Dispense Diarys,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
18,Collect/Review Diary,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
19,Administer Study Treatment h,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
20,Provide/Review Instructions on Treatment and Diary8,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
21,Dispense Study Treatment,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
22,Perform Study Treatment Accountability,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
