, ,Screening, , , ,Interventional, ,Period, 
1, , , , , , ,Treatment, , 
2,Visit,0,1,2,3,4,5,6,7 (EOT)
3,Weeks of treatment,-2,-1,0,3,6,12,18,246
4,Day,At least 7 days,7d before V2,1,22,43,85,127,169
5,Time window,before visit 1, ,NOT_SELECTED,+3,NOT_SELECTED +3,+3,+3,7
6,Informed consent,NOT_SELECTED X*,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
7,Demographics/baseline conditions,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
8,Medical history,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
9,In-/exclusion criteria,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
10,"Physical examination?, vital signs",NOT_SELECTED,SELECTED X,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED X,SELECTED X
11,Laboratory test,NOT_SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X
12,Pregnancy test,NOT_SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X
13,Spirometry (FVC),NOT_SELECTED,SELECTED X,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X
14,SpO2 (peripheral capillary oxygen saturation),NOT_SELECTED,SELECTED X,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED X
15,DLco,NOT_SELECTED,SELECTED X,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X
16,HRCT sent for outcomes review¹,NOT_SELECTED,SELECTED x¹,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
17,12-lead electrocardiogram (ECG),NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
18,(Practice) Six-minute walk test,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
19,Six minute walk test,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X
20, ,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED
21,Instruct Patient on Activity Monitoring and PROactive tool (eDiary)2,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED
22,Activity Monitoring (Dynaport),SELECTED X,SELECTED X,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X
23,"SGRQ, KBILD, UCSD SOBQ",NOT_SELECTED,SELECTED X,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X
24,"PROactive Tool 2,3",SELECTED X,SELECTED X,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X
25,Randomisation,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
26,Schedule pulmonary rehab days for assigned 6 patients,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
27,Record pulmonary rehab,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED
28,IRT,SELECTED X,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
29,"Adverse events, concomitant treatments",NOT_SELECTED,SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED,SELECTED X,SELECTED X
30,Conclude subject participation,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
