,Studies to be Obtained,Baseline,During Cycle 1,Prior to Cycle 2,Prior to Subsequent Cycles,End of Therapy
1,History,SELECTED X, ,SELECTED X,SELECTED X,SELECTED X
2,Physical exam with vital signs,SELECTED X,Weekly,SELECTED X,SELECTED X,SELECTED X
3,"Height, weight, BSA",SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X
4,Performance status,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X
5,"CBC, diff, platelets¹",SELECTED X,Weekly,SELECTED X,SELECTED X,SELECTED X
6,"Electrolytes, including CA++, PO4, Mg++1",SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X
7,BUN/creatinine¹,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X
8,"ALT (SGPT), AST and total bilirubin¹",SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X
9,Total protein/albumin,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X
10,"Amylase, lipase, CRP",SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X
11,Pregnancy test (females²,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X
12,Free T4 and TSH³,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X
13,Cortisol,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X
14,Tumor disease evaluation4,SELECTED X,NOT_SELECTED,End of cycle 2,"End of Cycle 4, then every 3 cycles",SELECTED X
15,CT Chest5,SELECTED X,NOT_SELECTED,End of cycle 2,"End of Cycle 4, then every 3 months",SELECTED X
16,18F-FDG PET/PET-CT or bone scan6,SELECTED X,NOT_SELECTED,End of cycle 2,"End of Cycle 4, then every 3 months",SELECTED X
17,Pulse oximetry,SELECTED X,NOT_SELECTED,X,with Tumor Disease Evaluation,SELECTED X
18,Quality of Life,SELECTED X,NOT_SELECTED, ,SELECTED X7,SELECTED X
19,Correlative research studies,(see,Section 8.0), , ,NOT_SELECTED
20,Correlative biology (baseline and prior to cycle 3 only),SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
21,Tumor tissue (if available),SELECTED X,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED
