Procedure,Visit 1 Day 1,Visit 2 Day 3 + 2,Unscheduled Visit,Visit 3 Day 9 + 3,Visit 4 Day 29 + 7,Visit 5 Day 43 + 7,Visit 6 Day 181 + 14
Type of contact,Clinic,Phone or Clinic,Clinic,Phone or Clinic,Clinic,Phone or Clinic,Clinic
Informed consent & Medical Release of Information,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Review Eligibility Criteria,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Cognitive Assessment,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Sociodemographics,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Medical history,SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
"Medications, including statins",SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Influenza Vaccination History,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Vital signs/temperature,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X
Body mass index,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
Obtain health-related quality of life assessment,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED Xe,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Participant perception of vaccination,SELECTED Xd,NOT_SELECTED,NOT_SELECTED,SELECTED Xd,SELECTED Xd,NOT_SELECTED,NOT_SELECTED
Baseline reactogenicity,SELECTED X°,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Venipuncture,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X
Randomization,SELECTED Xd,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Vaccination,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Diary & supplies,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Assess for injection site pain at least 15 min. after immunization,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED
At> 15 min. assess for any immediate reactogenicity symptoms,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Obtain solicited adverse events,NOT_SELECTED,SELECTED X,SELECTED Xb,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Obtain unsolicited adverse events,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
"Obtain SAE information, AEs of clinical interest, and new onset medical conditions",NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
Obtain health care utilization data,NOT_SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED X,NOT_SELECTED
Participant perception of vaccination,SELECTED Xd,NOT_SELECTED,NOT_SELECTED,SELECTED Xd,SELECTED Xd,NOT_SELECTED,NOT_SELECTED
Baseline reactogenicity,SELECTED X°,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Venipuncture,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X
Randomization,SELECTED Xd,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Vaccination,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Diary & supplies,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Assess for injection site pain at least 15 min. after immunization,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED
At> 15 min. assess for any immediate reactogenicity symptoms,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Obtain solicited adverse events,NOT_SELECTED,SELECTED X,SELECTED Xb,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Obtain unsolicited adverse events,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
"Obtain SAE information, AEs of clinical interest, and new onset medical conditions",NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
Obtain health care utilization data,NOT_SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED X,NOT_SELECTED
