,Evaluation,Baseline,8h (end of gtt),24h,48h,Day 7 or discharge (whichever first),1 month,3 months,6 months
1,Screening and eligibility,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED
2,Consent and randomization,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , 
3,Demographics/baseline information,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , 
4,GCS score and pupillary exam,SELECTED X,NOT_SELECTED,x (if done),NOT_SELECTED,X (if done),NOT_SELECTED, , 
5,Cranial CT scan (TBI patients),SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
6,"Routine laboratory tests (Hb, INR, pH, bicarbonate, Cr) (if done)",SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED, 
7,Thromboelastography (TEG) and other biomarkers,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
8,TXA level (collected at the end of bolus and infusion; also collect convenience sample of blood drawn during the first 24 hours after the start of study drug infusion),X (end of bolus),SELECTED X,NOT_SELECTED X (if done),NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
9,Adherence assessment (time ICP is over 20 mmHg over the first 48 hours),NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
10,Measurement of blood product transfusion,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
11,Hospital disposition information,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED x,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
12,Adverse events,NOT_SELECTED,X (randomization, ,through,discharge),NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
13,Serious adverse events, ,X (randomization, ,through,discharge),NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
14,PedsQL(All patients),NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,X (1 week),SELECTED X,SELECTED X,SELECTED X
15,GOS-E Peds (All patients),NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,X (1 week),SELECTED X,SELECTED X,SELECTED X
16,Digit span recall test (All patients 3 years and older),NOT_SELECTED,NOT_SELECTED, , ,X (1 week),SELECTED X,SELECTED X,SELECTED X
17,End of study,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED,SELECTED X
