Period,Screening,Run-in,Treatment, , , , ,Follow-up Study Completion
Visit number,1,101,201,202,203,204,TD,3014
Day,-21 to -14,-14,1,57,113,169, ,176
Week,-3 to -2*,-2,0,8,16,24, ,25
Obtain Informed consent,X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Contact IRT (IVRS/IWRS),S,S,NOT_SELECTED S,S,S,S,S,NOT_SELECTED S
Prior and Current medication review/adjustment,NOT_SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Review Concomitant medication,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED
Review Surgery and Procedures,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED
Inclusion/Exclusion criteria review,NOT_SELECTED X,SELECTED X,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
"Relevant Medical History, Demography",NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
History of Asthma Exacerbation,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Physical examination,NOT_SELECTED,S,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,S,S,NOT_SELECTED
Smoking history and status,NOT_SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Issue/collect rescue medication as required and review use,NOT_SELECTED S,NOT_SELECTED S,SELECTED S,S,S,S,NOT_SELECTED,NOT_SELECTED
Pregnancy test (serum),NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED
Pregnancy test (urine)¹,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Antigen-Specific IgE (Immunocap),NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Serum Total IgE,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Vital signs,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED,NOT_SELECTED
ECG,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED,NOT_SELECTED
Height,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Weight,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED,NOT_SELECTED
Reversibility Spirometry test(SABA³, ,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Spirometry, ,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,NOT_SELECTED
"Safety Lab assessments (haematology, clinical chemistry, urinalysis, blood eosinophil count)", ,X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED
SELECTED Issue and train on eDiary /, ,S,S,S,S,S,S,NOT_SELECTED
SELECTED Review eDiary /, ,NOT_SELECTED,S,S,S,S,S,NOT_SELECTED
AccuhalerR device training, ,S,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Dispense Run-in medication via IRT,NOT_SELECTED,S, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Issue Run-in medication,NOT_SELECTED,X, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Randomization via IRT, ,NOT_SELECTED,S,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Dispense study treatment via IRT,NOT_SELECTED,NOT_SELECTED,S,S,S,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Concept1 or Accuhaler + Respimat device training,NOT_SELECTED,NOT_SELECTED,S,S,S,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Study Treatment Compliance,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED
Study treatment administration at visit,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED
AEs recording,SELECTED X²,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X
SAEs recording,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X
ACQ-7,NOT_SELECTED,SELECTED X,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED
AQLQ,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED
 , , , , , , , , 
Survival Status, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED NOT_SELECTED X
