 ,Screening,Cycle,1a,Cycle 2,Cycle 3,Cycle 4,Cycle >5,End of Study,Follow Upb,Long-term Follow up°
 ,Day -30 to 0,Day 1 (+7 d),Day 8 (+7 d),Day 1 (+7 d),Day 1 (+7 d),Day 1 (+7 d),Day 1 (+7 d),<30 d from stopping treatment,30 d (+3 d) from last dose of study drug(s),Every 6 months (+30 d)
Informed consent,X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , ,NOT_SELECTED
Treatment with testosterone enanthate/cypio nate,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,Every Cycle, , , 
Olaparib dispensation,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,Every Cycle,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Unused olaparib collection,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,Every Cycle,SELECTED X,NOT_SELECTED,NOT_SELECTED
Demographics,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Medical history,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,Every Cycle,SELECTED X,SELECTED X,NOT_SELECTED
Physical assessment,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,Every Cycle,SELECTED X,SELECTED X,NOT_SELECTED
Vital signs,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,Every Cycle,SELECTED X,SELECTED X,NOT_SELECTED
Height,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Weight,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,Every Cycle,SELECTED X,SELECTED X,NOT_SELECTED
Performance status,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,Every Cycle,SELECTED X,SELECTED X,NOT_SELECTED
ECGd,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Radiologic testse,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,Every 3 Cyclesh,SELECTED X,NOT_SELECTED,NOT_SELECTED
CBC with diff,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,Every Cycle,SELECTED X,SELECTED X,NOT_SELECTED
CMP,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,Every Cycle,SELECTED X,SELECTED X,NOT_SELECTED
PSA,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,Every Cycle,SELECTED X,NOT_SELECTED,NOT_SELECTED
Serum Testosterone,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED, 
Estradiol,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED, , 
"aPTT, PT/INR",SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED, 
Urinalysis,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
Metastatic biopsy,SELECTED Xi,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED, 
Blood for Exploratory biomarkers,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
Quality of Life Surverys,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,Every 3 Cyclesh,SELECTED X,NOT_SELECTED,NOT_SELECTED
Brief Pain Inventory,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,Every Cycle,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Longterm survival follow up,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,SELECTED X
Adverse events,NOT_SELECTED,SELECTED X, , , , , , ,SELECTED,NOT_SELECTED
