 , , , ,Active Monitoring,Phase, 
Tests and procedures,<14 days prior to registration,7 days prior to registration,"Cycle 1 Days 1, 8, 15, & 28(+3 days5, 13","Cycles 2 & 3 Days 1, 15, and 28 (+ 3 days) 5,13","Cycles 4+Day 1 and Beyond(+/-3 days) 5, 17",NOT_SELECTED EOS²
"History and exam, wt, PS, vitals",SELECTED X,NOT_SELECTED,SELECTED X,X13,SELECTED X13,SELECTED X
Height,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Adverse event assessment,SELECTED X,NOT_SELECTED,SELECTED X,X,SELECTED X,SELECTED X
Hematology group WBC ANC Hgb PLT,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X',SELECTED X
"Chemistry group: sodium, potassium, calcium, creatinine, bicarbonate, glucose, chloride, albumin, BUN, alkaline phosphatase, AST, ALT, total protein, total bilirubin, LDH",NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
"TLS monitoring (for selected AML patients): BUN, calcium, CO2, chloride, creatinine, glucose, potassium, sodium, uric acid, phosphorus",NOT_SELECTED,NOT_SELECTED,SELECTED X14,SELECTED X14,NOT_SELECTED,NOT_SELECTED
PT/PTT and D-dimer,NOT_SELECTED,NOT_SELECTED,SELECTED X19,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Serum pregnancy test,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Bone marrow biopsy and aspirate procedure (cytogenetics or FISH) 15,SELECTED X11,NOT_SELECTED,SELECTED X³,SELECTED X³,SELECTED X³,SELECTED X10
Bone marrow aspirate research specimens (see Section 14.0)R,SELECTED X8,NOT_SELECTED,SELECTED X¹,SELECTED X1,SELECTED X',SELECTED X6
Blood specimens (see Section 14.0)R,"SELECTED X4,8",NOT_SELECTED,SELECTED X4,SELECTED X4,SELECTED X4,SELECTED X4
"Buccal swab (optional, see Section 14.0) R",SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Patient Questionnaire Booklet 12,SELECTED X,NOT_SELECTED,SELECTED X16,SELECTED X16,SELECTED X16,SELECTED X16
ECG (12 lead) 18,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
