, ,Schedule,of Events,and,Procedures, , 
1,Tests/Evaluations,Screening,Baseline/ C1D1b,QWb,Q4W for 12 Wk then Q8Wb,Week 24 and Week 48b,End-of-study/ Early Withdrawal
2,Informed consent,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
3,Demographics,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
4,Inclusion/exclusion criteria,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
5,Medical historyd,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
6,Prior & current therapy d,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
7,Concomitant medications,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X
8,Transfusion historye,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X
9,Physical examination,SELECTED X,SELECTED xf,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X
10,ECOG performance status,SELECTED X,SELECTED xf,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X
11,Vital signs,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X
12,Height and weightg,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X
13,12-lead ECG,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
14,CBC with differentialh,SELECTED X,SELECTED xf,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
15,Serum chemistry panel¹,SELECTED X,SELECTED xf,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
16,Serum erythropoietin,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
17,Serum ferritin,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
18,Blood/urine pregnancy testl,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X
19,Urinalysis,SELECTED X,SELECTED xf,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X
20,BM aspirate and/or biopsy and cytogenetics,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
21,QOL questionnaire (MPN-SAF-TSS),NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
22,Spleen volume (MRI or CT) in patients with palpable splenomegaly at baseline,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
23,Blood PK samplesm,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED Xm,NOT_SELECTED,NOT_SELECTED
24,Study drug dispensing,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
25,Assessment of compliance,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
