,Procedures, ,Visits, , , 
1, ,Screening,NOT_SELECTED Baseline,NOT_SELECTED Follow-up,Qualitative arm,Windows
2,Informed consent,SELECTED x,NOT_SELECTED,NOT_SELECTED,SELECTED X,1 month
3,Screening MoCA,SELECTED X,NOT_SELECTED,NOT_SELECTED, ,1 month
4,Demographics,SELECTED X,SELECTED X,NOT_SELECTED,x (carers),1 month
5,Medical history,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,1 month
6,Concomitant medications,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,1 month
7,Eligibility assessment,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,N/A
8,Randomisation,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,4-6 weeks
9,Compliance,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,N/A
10,Cognition (ACE-III),NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,"Baseline: 4-6 weeks, Follow-up: 8-12 weeks from randomisation"
11,Mood (GDS),NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,"Baseline: 1 month, Follow-up: 8-12 weeks from randomisation"
12,Edinburgh handedness Inventory,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,"Baseline: 1 month, Follow-up: 8-12 weeks from randomisation"
13,Function (Lawton-IADL),NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,"Baseline: 1 month, Follow-up: 8-12 weeks from randomisation"
14,Quality of Life (DEMQOL),NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,"Baseline: 1 month, Follow-up: 8-12 weeks from randomisation"
15,"Neurovascular function (TCD, blood pressure, ECG, ETCO2",NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,"Baseline: 4-6 weeks, Follow-up: 8-12 weeks from randomisation"
16,Adverse event assessments,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,N/A
