Assessments and Procedures,Screening,Pre- Discharge,Discharge,24 Hours Post- Discharge,7 Days Post- Discharge (+ 10/-3 days),30 Days Post- Discharge (+/-7 days),60 Days Post- Discharge (+/- 7 days)
Informed Consent,SELECTED X,NOT_SELECTED,NOT_SELECTED, , , , 
Confirm Eligibility,SELECTED X,NOT_SELECTED,NOT_SELECTED, , , , 
Study of Osteopathic Fractures Index,NOT_SELECTED,X,NOT_SELECTED, , ,NOT_SELECTED, 
ENRICHD Social Support Inventory,NOT_SELECTED,SELECTED X,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
SNF Chart Abstraction,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,SELECTED X,NOT_SELECTED,NOT_SELECTED
Connect-Home Intervention in SNF (Step 1),NOT_SELECTED,SELECTED X,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Connect-Home Intervention in Home (Step 2),NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
CTM-15,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,SELECTED X,NOT_SELECTED,NOT_SELECTED
MQoL-R,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,SELECTED X,SELECTED X
Life Space Assessment,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED,SELECTED X,SELECTED X
Falls Assessment,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,SELECTED X,SELECTED X
Hospice Enrollment Assessment,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,SELECTED X,SELECTED X
Home Health Care Chart Abstraction,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,SELECTED X
Hospital Use Assessment,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,SELECTED X,SELECTED X
Emergency Department Use Assessment,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED,SELECTED X,NOT_SELECTED X
Informed Consent,SELECTED X,NOT_SELECTED,NOT_SELECTED, , , , 
Confirm Eligibility,SELECTED X,NOT_SELECTED,NOT_SELECTED, , , , 
Study of Osteopathic Fractures Index,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
ENRICHD Social Support Inventory,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
SNF Chart Abstraction,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,SELECTED X,NOT_SELECTED,NOT_SELECTED
CTM-15,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,SELECTED X,NOT_SELECTED,NOT_SELECTED
MQoL-R,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,SELECTED X,SELECTED X
Life Space Assessment,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,SELECTED X,SELECTED X
Falls Assessment,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,SELECTED X,SELECTED X
Hospice Enrollment Assessment,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,SELECTED X,SELECTED X
Home Health Care Chart Abstraction,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
Hospital Use Assessment,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,SELECTED X,SELECTED X
Emergency Department Use Assessment,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED X,SELECTED X
