Study Procedures,Screening Visit9,Run-in Period®, ,Double-blind, ,Treatment,Perioda, ,Double-blind End of Treatmentb/ Early Termination,Discontinuation Period
 ,Day -28 to Day -7,Day -7 to Day 1, ,Week 1, ,Week,2 to 12, ,Week 13,DP Days 2b-14
Visit Days, , ,M/Tu,W/Th,F/Sa,M/Tu,W/Th,F/Sa, , 
 ,-28 to -7,-7 to 1,1,3,5,8,10,12,85,85 to 98
 , , , , , ,15,17,19, , 
 , , , , , ,22,24,26, , 
 , , , , , ,29m,31,33, , 
 , , , , , ,36,38,40, , 
 , ,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,43,45,47, , 
 ,NOT_SELECTED, , ,NOT_SELECTED, ,50,52,54, , 
 , , , , , ,57 m,59,61, , 
 , , , , , ,64,66,68, , 
 , , , , , ,71th,73,75, , 
 , , , , , ,78,80,82, , 
Administrative procedures,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED, 
Informed consent,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED, 
Inclusion/exclusion criteria,SELECTED X,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED, 
Medical history/Prior Medications (including antipruritic medications)/Demographics,SELECTED X,SELECTED Xc,SELECTED,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED, 
Randomization,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Safety and efficacy evaluations,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Physical examination,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Prescription dry body weight,SELECTED X,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Pre-dialysis 12-lead electrocardiogramd,SELECTED xd,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED xd,NOT_SELECTED
Pre-dialysis vital signs,SELECTED X,NOT_SELECTED,SELECTED Xe,NOT_SELECTED,NOT_SELECTED,SELECTED Xe,NOT_SELECTED,NOT_SELECTED,SELECTED Xe,SELECTED xt
"Hematology, serum chemistry (pre-dialysis)8",SELECTED X,NOT_SELECTED,SELECTED x,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
Serum pregnancy (females of childbearing potential only),SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
Safety and efficacy evaluations,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED, ,NOT_SELECTED
Patient training on PRO worksheets,NOT_SELECTED,SELECTED Xhij,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X¹,NOT_SELECTED
Worst Itching Intensity NRS (daily)k,NOT_SELECTED,SELECTED x,NOT_SELECTED,Record,on an,ongoing basis, ,NOT_SELECTED,SELECTED X,SELECTED
"Skindex-10 Scale, 5-D Itch Scalem",NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED Xm,NOT_SELECTED,NOT_SELECTED,Xm,NOT_SELECTED
Patient Global Impression of Change,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
Patient Health Assessment (ShOWS) and Observer Health Assessment (OOWS) worksheets,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED XX,SELECTED XX
Record dose of ESA and IV iron,SELECTED,NOT_SELECTED,NOT_SELECTED,Record,on an,ongoing basis, , ,SELECTED X,NOT_SELECTED
Record number of missed dialysis visits and reason(s),NOT_SELECTED,NOT_SELECTED, ,Record,on an,ongoing basis, , ,NOT_SELECTED,NOT_SELECTED
IV administration of study drug,NOT_SELECTED,NOT_SELECTED, ,Record,on an,ongoing basis, , ,NOT_SELECTED,NOT_SELECTED
Inflammatory biomarker samples°,NOT_SELECTED,NOT_SELECTED,SELECTED X, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
Adverse event monitoring,SELECTED X,SELECTED X,NOT_SELECTED,Record,on an,ongoing basis, , ,SELECTED X,SELECTED X
Concomitant medications (including antipruritic medications),NOT_SELECTED,NOT_SELECTED,SELECTED, ,Record on,an ongoing,basis, ,SELECTED X,SELECTED X
Structured Safety Evaluation,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
