 ,Screening Phase, , , , ,Treatment,Phase, ,(3-Week,Cycles), , , , ,End of Treatment, ,Follow-up, 
Treatment Cycle,Screening (Visit 1),1,1,1,2,2,2,3,3,3,4,4,4,May-35,Discon¹,Safety Follow- up²,PFS Follow- up Visits³,Survival Follow- up4
Day (in Cycle), ,1,2&3,8,1,2&3,8,1,2&3,8,1,2&3,8,1,NA,NA,NA,NA
Scheduling Window (Days):5,-28 to -1,3, ,1,3, ,1,3, ,1,3, ,1,3,At Time of Discon 3,30 Days From Last Dose +7,Every 6 or 9 Weeks ( 7 days) per imaging schedule,Every 8 Weeks 7 days
Analysis Performed by,Central Laboratory, , , , , , , , , , , , , , , , , 
Blood for Genetic Analysis15, ,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , ,C5D1 only,X, , , 
Blood for RNA Analyses, ,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , ,C5D1 only,SELECTED X,NOT_SELECTED, , 
Blood for Plasma Biomarker Analyses, ,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , ,C5D1 only,SELECTED X,NOT_SELECTED, , 
Blood for Serum Biomarker Analyses,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , ,C5D1 only,SELECTED X,NOT_SELECTED,NOT_SELECTED, 
Tumor Tissue Collection, , , , , , , , , , , , , , , , , , 
Archival or Newly Obtained Tissue Collection,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , , , , , , , , , 
Efficacy Measurements, , , , , , , , , , , , , , , , , , 
"CT/MRI Imaging of Chest, Abdomen, and Pelvis16",SELECTED X, ,NOT_SELECTED,NOT_SELECTED, , , ,X17, , , , , ,X17,X18, ,X17, 
MRI of Brain¹,SELECTED X, ,NOT_SELECTED,NOT_SELECTED, , , ,"17,20",NOT_SELECTED,NOT_SELECTED, , , ,"X17,21",X18, ,SELECTED X,NOT_SELECTED
Bone Scan22,SELECTED X, ,NOT_SELECTED,NOT_SELECTED, , , , ,NOT_SELECTED,NOT_SELECTED, , , , , , , , 
Survival Status4, ,SELECTED, , , , , , , , , , , , , , , , 
Subsequent Anti-cancer Therapies, , ,NOT_SELECTED, , , , , , , , , , , ,X,X,X,X
Study Drug Administration23, , , , , , , , , , , , , , , , , , 
Pembrolizumab or Saline Placebo24,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
Carboplatin or Cisplatin25, ,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Etoposide26, ,SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Patient Reported Outcomes27, , , , , , , , , , , , , , , , , , 
EQ-5D-5L, ,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED
EORTC QLQ-C30, ,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED
EORTC QLQ-LC13, ,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED
