 , , , ,Cycles 1,through,16 (cycle length = 6,weeks)
Study Procedure,Screening Visit X,Day 1,Day 8,Day 15,Day 22,Day 29,Day 42
Screening1, , , , , , , 
Inclusion/exclusion,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
Informed consent²,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
Genomics sub-study informed consent (optional),SELECTED X,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED, , 
Medical history and demographics,SELECTED X,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED, , 
Electrocardiogram,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , 
Performance status,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
Tumor tissue sample,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
Randomization,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
Treatment:,NOT_SELECTED, , , , ,NOT_SELECTED, 
Cemiplimab (experimental),NOT_SELECTED,SELECTED X³,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED, 
Pemetrexed,NOT_SELECTED,SELECTED X³,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED, 
Topotecan,NOT_SELECTED,Days 1-5³,NOT_SELECTED,NOT_SELECTED,Days 22-26,NOT_SELECTED,NOT_SELECTED
Irinotecan,NOT_SELECTED,SELECTED X³,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED, 
Gemcitabine,NOT_SELECTED,SELECTED X³,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X, 
Vinorelbine,NOT_SELECTED,SELECTED X³,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X, 
Concomitant medications,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED,SELECTED X,SELECTED X
Efficacy (Radiologic):,SELECTED, , , , , , 
CT scan and/or MRI,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,"X (cycles 1-4, 6, 8, 10, 12, 14, and 16)"
Safety:, , , , , , , 
Vital signs4,SELECTED X,SELECTED X,"Only for gemcitabine, irinotecan, and vinorelbine",Only for irinotecan,SELECTED X,Only for gemcitabine and vinorelbine, 
Weight and height (height at screening only)5,SELECTED X,SELECTED X6,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , 
Complete physical examination7,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , 
Limited physical examination8,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED, , 
Adverse events, , , ,<,Continuous,Monitoring for Adverse,Events
Laboratory Testing:, , , , , , , 
Hematology,NOT_SELECTED X,"X6,9",Only for gemcitabine and vinorelbine,Only for irinotecan,X,Only for gemcitabine and vinorelbine, 
Blood chemistry,SELECTED X,"SELECTED X6,9", ,Only for irinotecan,X,NOT_SELECTED, 
"Prothrombin time, Activated partial thromboplastin time",SELECTED X,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED, , 
"TSH (with reflex T3, free T4)",X, , , , , , 
"HBV, HCV, HIV",SELECTED X,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED, , 
Pregnancy test for WOCBP10,SELECTED X,SELECTED,NOT_SELECTED, ,NOT_SELECTED, , 
Urinalysis,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , 
"PK, ADA, Biomarkers","PK, ADA,",soluble,"biomarkers,",and PBMC are,collected,from patients randomized,to cemiplimab
PK,NOT_SELECTED,SELECTED X11,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , 
ADA sample,NOT_SELECTED,SELECTED X12,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , 
Soluble biomarkers (serum/plasma1³,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , 
PBMC only for cemiplimab arm (optional),NOT_SELECTED,X14,NOT_SELECTED,NOT_SELECTED, , , 
Genomic DNA sample (optional sub-study),NOT_SELECTED,X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , 
Quality of Life, , , , , , , 
EORTC QLQ-C30,SELECTED X,"X6,15",NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , 
