, ,Inclusion V1 J0,Blood sample D8 (to 10),Phone Call D15 (to 18),Blood sample D22 (to 24),Phone Call D31 (to 37),V2 D43 (to 50),V3 D85 (to 100)
1,Inclusion / exclusion criteria,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
2,Epistaxis grids surrender,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
3,Epistaxis grids collection,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X
4,Consent Form signature,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
5,Pregnancy Test,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
6,"Clinical examination (HR, BP)",SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X
7,ENT examination,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X
8,"Hémoglobinemia, serum ferrritin",SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X
9,FK 506 dosage,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED
10,Treatment : protopic/placebo dispensation,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
11,Product return,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
12,Blood Cell transfusions collection,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X
13,ESS questionnaire,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X
14,SF36 Quality of life questionnaire,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X
15,Concomitant treatment collection,SELECTED X,NOT_SELECTED,SELECTED x,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X
16,Adverse events collection,SELECTED X,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED X,SELECTED X
