Assessment,Screening,Period,Baseline, ,"Double-Blind,",Placebo-Controlled,Part 1 Study Drug,Administration, 
 ,"Screening Visita,b (up to Week -10)",Run-in Perioda,Day 1a,Week 2° Day 15 2 days,Week 4 Day 29 2 days,Week 8 Day 57 2 days,Week 12 Day 85 2 days,Week 18 Day 127 2 days,Week 24 Day 169d
Informed consentb,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
In-clinic evaluation,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED Xc,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
 , , , , , , , , , 
Telephone contacte,NOT_SELECTED, , , , , , , ,NOT_SELECTED
Inclusion-exclusion criteria,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Medical history,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
HAE medical and medication history,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Weight/height/BMIs,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Drugs of abuse screen,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Physical examination¹,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Pregnancy test¹,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
