 ,Screening And Baseline,Surgery,Suture removal,Fitting,Follow up 6W,Follow up 3M,Follow up 6M
Timing of visit,NOT_SELECTED,0,2W,4W,6W,3M,6M
Visit window (),NOT_SELECTED,NOT_SELECTED,+5D,+1W,1W,2W,3W
Procedures,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Written informed consent,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Demographics,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Eligibility,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Medical history,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Hearing history,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Device history,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Audiogram,SELECTED Xa,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Soft tissue thickness,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Surgery,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Suture removal,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Sound processor fitting,SELECTED Xc,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED Xd,SELECTED Xd,SELECTED Xd
Microphone placement,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Fine tuning,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED Xd,SELECTED Xd,SELECTED Xd
Feedback measurements,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED Xe,SELECTED Xe,SELECTED Xe
Coil-to-coil measurements,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED Xe,SELECTED Xe,SELECTED Xe
BC Direct,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED Xe,SELECTED Xe,SELECTED Xe
Free field thresholds,"Xt,g",NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X
Speech recognition in quiet,"Xt,g",NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X
Speech recognition in noise,"Xf,g,h",NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X
APHAB,Xg,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X
SSQ,Xg,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X
HUI,Xh,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X
Usability, ,NOT_SELECTED,NOT_SELECTED,SELECTED Xi,SELECTED Xi,SELECTED Xi,SELECTED
Numbness,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Device exposure j,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Adverse Events,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Device Deficiencies,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Concomitant therapies,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Extra visits as needed,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
