Visit, ,Screening/Baseline¹, ,Every,Cycle, ,End of Treatment21,Follow-up18,Post treatment Follow-Up,Long Term Treatment Follow-up,Survival Follow-up
Base Date,Day -28 to -1,Day -7 to -1,Day 1,Day 8 Arm A (only),Day 15 Arm A (only),Every 56 Days,Date of Last Dose,Date of last Dose +30 days,Every 56 days,Every 3 months,Every 3 months
Visit Window,NA,NA,3 days,3 day,3 days,7 days,+ 7 days,+ 7 days,7 days,7 days,7 days
Informed Consent,SELECTED X,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Medical and Disease History,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Confirmation of Eligibility, , ,SELECTED X, , , , , , , , 
Tumor Tissue Sample²,SELECTED X,NOT_SELECTED, ,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Brain Scan³,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
Bone Scan4,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
PGx blood sample (optional), ,SELECTED X, ,NOT_SELECTED, ,NOT_SELECTED, ,SELECTED, ,NOT_SELECTED, 
Serum/Urine Pregnancy Test5,NOT_SELECTED,SELECTED X,SELECTED X, , , ,SELECTED X,X,NOT_SELECTED X5,X5,SELECTED X5
Physical Examination 6,NOT_SELECTED,SELECTED X,SELECTED X, , ,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Weight,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X6,SELECTED X6,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Vital Signs,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X6,X6,NOT_SELECTED,SELECTED X,X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Biochemistry7, ,SELECTED X,SELECTED X,SELECTED X7,SELECTED X7, ,X,SELECTED X, , , 
Hemoglobin A1C8,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Hematology9,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X9,SELECTED X9,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
ECOG PS,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
12-lead ECG10,NOT_SELECTED,SELECTED X,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Ophthalmology Assessment11,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Randomization12,NOT_SELECTED,SELECTED X,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Arm A: EV Administration - 28 Day Cycle13,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , 
Arm B: Docetaxel/Paclitaxel/ Vinflunine Administration - 21 Day Cycle14,NOT_SELECTED,NOT_SELECTED,SELECTED X, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , 
Image Assessment1:,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,X15,NOT_SELECTED,NOT_SELECTED,SELECTED X 19,NOT_SELECTED,NOT_SELECTED
Subsequent Therapy Assessment20,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
Concomitant Medication,X,SELECTED X,SELECTED X,X,SELECTED X,X,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
AE,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED,SELECTED X,X,X, , , 
QOL16,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
HRU22,NOT_SELECTED,NOT_SELECTED,SELECTED X22,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Overall Survival17,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X
