 , ,Screening, , ,Treatment, ,(Each,Cycle), , ,Cycle,Non-Treatment Visit,End of Treatmentb,PTFU,Survival FU (OS)
Category,Description,Day -21 to Day 1,Day -1,Day 1e (-3d),Day 2,Day 8,Day 15,Day 22 (-3d),Day 29,Day 36,Day 1 (=3d),"Weekly (Day 8, 15, 22, 29,36) (=3d)",Within 7 Days of Decision to Discontinue Treatment,q6 Weeks (+1wk),q6 Weeks (+1wk)
Location,Clinic Visit,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
 ,Phone Contact,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
Safety,Informed Consent,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Assessments,Inclusion/Exclusion Criteria,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
 ,Medical and Surgical History including Malignancy History8,NOT_SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
 ,Physical examination,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
 ,Vital Signs¹,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
 ,Hematology and Serum Chemistry,SELECTED X,NOT_SELECTED,SELECTED Xk,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
 ,Coagulation Tests¹,SELECTED X,NOT_SELECTED,SELECTED Xk,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
Safety,Urinalysis,SELECTED X,NOT_SELECTED,SELECTED xk,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
Assessments (cont.),Pregnancy Test¹,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
 ,Electrocardiogram (ECG)1,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
 ,"Echocardiogram""",SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
 ,Performance Status (ECOG),SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
 ,Fluid Retention Questionnaire°,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED,SELECTED,SELECTED X,NOT_SELECTED SELECTED,SELECTED,SELECTED X,NOT_SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED
 ,SAE/Adverse Events,SAE/ Procedure -related only,SELECTED,SELECTED X,NOT_SELECTED,SELECTED,SELECTED X,SELECTED X,SELECTED,SELECTED,NOT_SELECTED X,NOT_SELECTED X,NOT_SELECTED XP,NOT_SELECTED XP,NOT_SELECTED
 ,Concomitant Medications, ,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED X,NOT_SELECTED X,NOT_SELECTED XP,XP
Treatment,rovalpituzumab tesirine or placebo,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , , , 
 ,dexamethasone or placebo,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Response Assessment,Disease/Response Assessment (Radiographic Imaging),SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , ,SELECTED X,NOT_SELECTED,NOT_SELECTED XT,SELECTED X,NOT_SELECTED
 ,Central Radiographic Assessment Committee (CRAC) Review,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED XT,SELECTED X,NOT_SELECTED
 ,MRI/CT of the Brain,SELECTED Xt,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
 ,Health Resource Utilization,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
 ,"Patient Reported Outcome (PRO""",SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
 ,Survival Status,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
"Pharmacoki netic (PK), Biomarkers, and Pharmacoge netic (PG)","Pharmacokinetics (PK), Anti- therapeutic Antibody (ATA), and neutralizing antibodies (nAb)",NOT_SELECTED, ,X, ,NOT_SELECTED, , , , ,X, ,X, , 
 ,"Tumor Material at Screening""",SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
 ,Tumor Material at Time of Disease Progression f,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , ,NOT_SELECTED X,SELECTED X,NOT_SELECTED
 ,Blood (plasma) for Inflammatory Markers & ctDNAX,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , ,SELECTED X,SELECTED XX,NOT_SELECTED
 ,Blood (serum) for Tumor & Soluble Markers*,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , ,SELECTED X,SELECTED XX,NOT_SELECTED
 ,Circulating Tumor Cellsy,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , ,SELECTED X,NOT_SELECTED,NOT_SELECTED
 ,Pharmacogenetics²,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , ,SELECTED X,NOT_SELECTED,NOT_SELECTED
 ,Serosal Fluida,NOT_SELECTED,NOT_SELECTED, , , , ,Cycle 1 Day,1,through 70,days after,last blinded,study treatment, , 
