 , , , , , , , , , ,Treatment, ,period, , , , , , , , 
 ,Screening, , , , ,Initial, ,treatment, , , , , ,Continuation, , ,treatment, , ,Details
Visit,1¹,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,(protocol section)
Week,-6,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32, 
Visit window (days²,3,-3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, 
Trial population and eligibility, , , , , , , , , , , , , , , , , , , , 
Informed consent³,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , , , , , , , , ,"8.4, Appendix 3B"
Eligibility,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , , , ,NOT_SELECTED,NOT_SELECTED, ,8.1 to 8.4
Trial products and randomisation, , , , , , , , , , , , , , , , , , , , 
Randomisation,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X4, , , , , , ,NOT_SELECTED,NOT_SELECTED,9.2
Concomitant medication/procedures,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED,SELECTED X,"9.4,9.5"
Initiation of emollients (background treatment),NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,9.3
"IMP administration, compliance",NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED X6,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X6,SELECTED X6,SELECTED X6,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,NOT_SELECTED,"9.1.1, 9.1.3.1, 9.2.1, 9.8.3, 9.8.3.1, 9.8.5"
TCS (NIMP) dispensing,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED,SELECTED,SELECTED,NOT_SELECTED,"9.1.2,9.1.3.2"
TCS (NIMP) return,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED X,SELECTED X,X,SELECTED X,SELECTED X,SELECTED X,SELECTED X, ,SELECTED,SELECTED,SELECTED X,"9.8.3.2, 9.8.5"
Investigator assessments at baseline, , , , , , , , , , , , , , , , , , , , 
C-SSRS,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,10.2.1
"Demographics (age), BSA",SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,10.2.2. 10.2.5
Other demographics and medical history,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , ,NOT_SELECTED,NOT_SELECTED, , , , ,NOT_SELECTED,10.2.2. 10.2.3
"Height, weight",NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , , , , , , , , ,10.2.4
Investigator assessment of efficacy, , , , , , , , , , , , , , , , , , , , 
"IGA, EASI",SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,"10.3.1.1, 10.3.1.2"
SCORAD,SELECTED,NOT_SELECTED,SELECTED X,SELECTED,SELECTED,X,X,X,X,X,X, ,X, , , , ,NOT_SELECTED,SELECTED,10.3.1.3
Atopic dermatitis flares,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED, , , , ,X,X,X,X,X, ,X,SELECTED,SELECTED,SELECTED,10.3.1.4
eDiary training,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , , , , , , , ,NOT_SELECTED,NOT_SELECTED,10.3.2
eDiary completion,NOT_SELECTED,NOT_SELECTED, , , , , , , , , , , , , , , , ,NOT_SELECTED, 
POEM,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,10.3.2.7
DLQI,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,10.3.2.8
"EQ-5D-5L, HADS",NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,"10.3.2.9, 10.3.2.10"
Safety assessments, , , , , , , , , , , , , , , , , , , , 
Vital signs,SELECTED,NOT_SELECTED,SELECTED X6,SELECTED X6,SELECTED X6,SELECTED,SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X6,SELECTED X6,SELECTED X6,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,10.4.1
Physical examination,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,10.4.2
ECGs,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,10.4.3
"Serum pregnancy test, hepatitis B, C, HIV",SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,"10.4.4, 10.4.5"
Urine pregnancy test,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,10.4.4
