 ,Screening, , , , , , , , , , , ,On-Treatment,Study, ,Period¹, , , , , , , , , , ,Off- Treatment
Table 1 Summary of Assessments, ,Cycle 0: Baseline2, , , ,Supervised, ,Exercise, , , ,Transition, , , , , , ,Self-managed,exercise, ,program, , , , ,Follow-up Period
 , ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24, 
Informed Consent,SELECTED X, ,NOT_SELECTED, , , , , , , , , , , , , , ,NOT_SELECTED, , , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , 
Randomisation,SELECTED SELECTED X4, ,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
Clinical History, , , , , , , , , , , , , , , , , , , , , , , , , , , 
Medical history,SELECTED SELECTED X, ,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED, 
Tumour histology,SELECTED X, , , , , , , , ,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
Medication/Tx history,SELECTED, , , ,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED, ,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED, 
Body Measurements, , , , , , , , , , , , , , , , , , , , , , , , , , , 
Height,SELECTED,NOT_SELECTED,NOT_SELECTED, , , , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
"Weight, waist, hip circumference",SELECTED SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED, 
Lab Studies,NOT_SELECTED, , , , , , , , , , , , , , , , , , , , , , , , , , 
