, ,Visit 1,Visit 2,Visit 3,Visit 4/Exercise Training 1,Exercise Training 2,Exercise Training 3,Exercise Training 4,Exercise Training 5,Exercise Training 6,Exercise Training 7,Exercise Training 8,Exercise Training 9,Exercise Training 10,Exercise Training 11,Exercise Training 12,Exercise Training 13,Exercise Training 14,Exercise Training 15,Exercise Training 16,Exercise Training 17,Exercise Training 18,Exercise Training 19,Exercise Training 20,Exercise Training 21,Exercise Training 22,Exercise Training 23,Exercise Training 24,Exercise Training 25,Exercise Training 26,Exercise Training 27,Exercise Training 28,Exercise Training 29,Exercise Training 30,Exercise Training 31,Exercise Training 32,Exercise Training 33,Exercise Training 34,Exercise Training 35,Exercise Training 36 /Visit 6,Visit 7
1,Time Frame,NOT_SELECTED,NOT_SELECTED, , , , , , , , , , , , , , , , ,NOT_SELECTED, , , , , , , , , , , , , , , , , , , , ,NOT_SELECTED
2,Consent Form,SELECTED X,NOT_SELECTED,NOT_SELECTED, , , , , , , , , , , , , , , ,NOT_SELECTED, , , , , , , , , , , , , , , , , , , , ,NOT_SELECTED
3,Medical History and Physical Exam,SELECTED X, , ,NOT_SELECTED, , , , , , , , , , , ,"Training Visit 13, 14 or 15","Training Visit 13, 14 or 15","Training Visit 13, 14 or 15",NOT_SELECTED, , , , , , , , , , , , , , , , , , , , ,SELECTED X
4,Inclusion/Exclusion Criteria,SELECTED X,NOT_SELECTED, , , , , , , , , , , , , , , , ,NOT_SELECTED, , , , , , , , , , , , , , , , , , , , ,NOT_SELECTED
5,SELENA-SLEDAI,SELECTED X,NOT_SELECTED, ,NOT_SELECTED, , , , , , , , , , , ,"Training Visit 13, 14or 15","Training Visit 13, 14 or 15","Training Visit 13, 14 or 15",NOT_SELECTED, , , , , , , , , , , , , , , , , , , , ,SELECTED X
6,ACR Damage Index (SLICC/ACR-DI),SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , , , , , , , , , , ,NOT_SELECTED, , , , , , , , , , , , , , , , , , , , ,SELECTED X
7,Labs and Imaging:,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , ,NOT_SELECTED, , , ,NOT_SELECTED, , , , , ,NOT_SELECTED, ,NOT_SELECTED, ,NOT_SELECTED, ,NOT_SELECTED, , , ,NOT_SELECTED, , , ,NOT_SELECTED, , , ,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED
8,"1) Research Blood Tests (Whole Blood, Serum, CPT, PAX gene",SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,"Training Visit 13, 14or 15","Training Visit 13, 14 or 15","Training Visit 13, 14 or15",NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
9,2) Doppler Echocardiogram,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , ,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED
10,3) Pulmonary Function Test with DLCO,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , ,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
