,Visit,Visit 1,Visit 2,Visit 3,Visit 4,Visit 5,Visit 6
1, ,Screening,Period,Treatment Period,Post-Treatment,Follow-up,Peirod
2, ,Screening,Baseline,Treatment,Week 1,Week 6,Week 12
3,Study Day(s),-30 to -7,-10 to -7,Day 1,Day 7 (=2 days),Day 42 (=5 days),Day 84 (7 days)
4,Informed Consent,SELECTED X,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED
5,Inclusion/Exclusion criteria,SELECTED X,NOT_SELECTED,NOT_SELECTED, , , 
6,Medical History,SELECTED X,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED
7,Diagnosis and Extent incompetent saphenous vein,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , 
8,Demographics,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
9,Physical Exam,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
10,Pregnancy test (serum),NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
11,Pregnancy test (urine),SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
12,Height,SELECTED X,NOT_SELECTED, , , , 
13,Weight,SELECTED X, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED
14,Vital signs,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
15,Hematological Assessment,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X
16,Intravascular Coagulation Assessmentb c,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
17,Adverse events,SELECTED X,NOT_SELECTED, ,Continuous, , 
18,Concomitant medications and Non-Drug procedures,SELECTED X,NOT_SELECTED, ,Continuous, , 
19,Ultrasound,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
20,CEAP Classification,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
21,rVCSS,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
22,HASTI symptoms - 7-day assessment,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X
23,European Quality of Life scale (EQ-5D-5L),NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
24,VEINES-QOL-SYM,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
25,VAS score,NOT_SELECTED,SELECTED X,SELECTED X (Procedure only),SELECTED X,SELECTED X,SELECTED X
26,ClariVein RES procedure,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
