, ,Prior to,Cycles,and 2,Day 1 of every cycle starting,Every 3 mths from,At end of
1, ,registrati on,Day 1*,Day 15*,with Cycle 3 for year 1 of treatment*,year 2 untilend of treatment(+/-8 days),protocol treatment
2,Tests and Observations,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
3,History and Physical,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
4,Adherenceevaluation,NOT_SELECTED,SELECTED A,NOT_SELECTED,B,SELECTED X,NOT_SELECTED
5,Adverse Event Reporting,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
6,PRO-CTCAE,NOT_SELECTED,SELECTED X,SELECTED X,X(1),NOT_SELECTED,NOT_SELECTED X(2)
7,Concomitant medications,NOT_SELECTED,SELECTED X,SELECTED X,X,SELECTED X,NOT_SELECTED
8,Geriatric Assessment,NOT_SELECTED,SELECTED C,NOT_SELECTED,B,NOT_SELECTED,X(2)
9,EQ-5D-3L,NOT_SELECTED,SELECTED X,NOT_SELECTED,X(1),NOT_SELECTED,NOT_SELECTED X(2)
10,Was It WorthIt and Overall Treatment Utility,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
11,Laboratory Studies,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
12,"CBC, Differential, Platelets",SELECTED X,SELECTED X**,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
13,CMP*,SELECTED X,SELECTED X**,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
14,Staging,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
15,CT chest/abd+/-pelvis - or PET,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED D,SELECTED X,NOT_SELECTED
16,"Bone Scan, Whole Body",NOT_SELECTED X(3),NOT_SELECTED,NOT_SELECTED,D,SELECTED X,NOT_SELECTED
17,Whole Blood and Plasma, , ,Correlative To be collected,studies for patients who consent at the timepoints described,to participate in Section 6.2, 
