, , , ,NOT_SELECTED, , , , , , , 
1,Consent,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
2,Inclusion/Exclusion Criteria,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
3,Medical History,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
4,Physical Examination,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
5,Review Medications,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
6,Pregnancy Screen (if applicable¹,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
7,12-Lead ECG,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
8,Trans-thoracic Echocardiogram (TTE),SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
9,SF-12 Health Survey and AFEQT Questionnaire,SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
10,Trans-esophageal Echocardiogram (TEE)3,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
11,Sub-study 4,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED
12,Ablation Procedure Data,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
13,24h Continuous Monitoring with Holter,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
14,Trans-telephonic monitoring,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,Weekly and,upon,symptoms,NOT_SELECTED
15,Review symptoms suggestive of recurrent AF/AT/AFL,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED
16,Device Deficiencies, , , , ,As they,occur, , , , 
17,Adverse Events (incl. AE with outcome of death), , , , ,As they,occur, , , , 
18,Study Deviation, , , , ,As they,occur, , , , 
19,Study Exit Information, , , , , , , ,NOT_SELECTED,NOT_SELECTED,SELECTED X5
