, ,"Screening Perioda,", ,Safety and (Continued,Efficacy Evaluation until complete,Period clearance), 
1,Activities,Up to 14 days before Day 1,Treatment 1: Day 1b,Treatment 2: Day 21b,Treatment 3: Day 42b,Treatment 4: Day 63: EOT,End of Study: Day 84: EOS
2,Informed Consent and Authorization,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
3,Inclusion/Exclusion Criteriad,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
4,Demographics,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
5,Height/Weight,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
6,Prior Relevant Medical History (5 years),SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
7,Molluscum History,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
8,Prior and Concomitant Medications,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
9,"Vital Signs (T,P) f",SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
10,Physical Examg,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
11,Dermatologic Exam/lesion counth,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
12,LSR Assessment,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
13,CDLQI Assessment,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
14,Urine Pregnancy Testk,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
15,Photographs,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
16,"Study Drug Application""",NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
17,"PERIT Assessment & photos""",NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
18,Adverse Events,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
19,Safety Monitoring Questionnaire,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X
20,Exposure Group Blood Draws°,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
21,Patient Take Home InstructionsP,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
22,Applicator Assessment,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
