,Study Period,Screening Visit (SV) Visit 1,Randomization Visit (RV) Visit 2,Treatment Visit (TV) Visit 3,Final Visit/ Discontinuation Visit (FV/DV) Visit 4
1,Activity / Observation,(Day -7 to -10),Day a,Day 8+2 a,Day 15+2 a
2,"Written informed consent, assent and HIPAA authorization",NOT_SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
3,Inclusion/ exclusion criteria review,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED
4,Demographic data,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
5,Medical and treatment history,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
6,Concomitant medication evaluation,SELECTED X,SELECTED X,SELECTED X,SELECTED X
7,Physical examination,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
8,Vital signs,SELECTED X,SELECTED X,SELECTED X,SELECTED X
9,Height and weight measurements,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
10,Focused ENT/eye examination b,SELECTED X,SELECTED X,SELECTED X,SELECTED X
11,"Allergy testing (skin prick test for relevant allergen, if required) c",SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
12,"Urine pregnancy test (as applicable, females of child bearing potential only)",SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X
13,Review instructions and train on proper use of nasal spray using the placebo NS device e,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
14,Subject assessment of AR symptoms and recording at the clinical site d,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
15,"Prime, dispense, and administer single-blind placebo nasal spray at the clinic",SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
16,Distribute AR symptom assessment diary,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
17,Review of AR symptom assessment subject diary,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X
18,Subject assessment of AR symptoms and, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
19,recording d,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
20,Physician assessment of nasal symptom severity,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X
21,Review randomization criteria,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
22,Randomization/treatment assignment,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
23,Prime and dispense of double-blind study medication,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
24,Administer double-blind study medication at clinic d.e,NOT_SELECTED,SELECTED Xe,NOT_SELECTED Xe,NOT_SELECTED
25,"Distribute PRQLQ, review instructions with the subject and completion of PRQLQ f",NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X
26,Adverse event monitoring,SELECTED X,SELECTED X,SELECTED X,SELECTED X
27,Collect study medication,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X
