 ,Screening,Baseline, ,Treatment, ,Cross-over,Period, , ,Treatment Period,Continuation [a],End of Treatment Visit [b],Follow-up Period [c]
Study Cycle, , ,1,2,3,4,5,6,7,11 [d],15 (or last treatment cycle) [e], , 
Day,-28 to -1,-7 to-1,1,SELECTED 1,SELECTED 1,SELECTED 1,1,1,1,1,1,28 days from last study dose, 
Informed consent [f],SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Medical history and demographics,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Collection of pathology reports [g],SELECTED x,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
"Complete physical examination [h, i]",SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED x [i]
"Limited physical examination [h, i]",NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
Vital signs [j],SELECTED X,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
ECOG Performance Status [h],NOT_SELECTED,SELECTED X,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
"Weight [h, k]",SELECTED X,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Height,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Investigator assessment to exclude residual/recurrent or metastatic disease as per institutional practice,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
Clinical breast examination [I],SELECTED X,NOT_SELECTED,SELECTED x,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED X [I]
Electrocardiogram,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
LVEF [m],SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED,NOT_SELECTED,SELECTED X,X [m]
Haematology / limited biochemistry [n],SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Pregnancy test [o],NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,[o],SELECTED X [o],SELECTED [o],SELECTED X,x[o]
Adverse-events- [p],SELECTED *,SELECTED *,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED *, 
Adverse events [p],SELECTED x,SELECTED x,NOT_SELECTED, , , ,Collected,on,an ongoing,basis, ,NOT_SELECTED,x [p]
Concomitant medication [q],NOT_SELECTED,SELECTED *,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED, ,SELECTED,SELECTED *,SELECTED *,*[[]]
Concomitant medication [q],NOT_SELECTED,SELECTED x,NOT_SELECTED, , , ,Collected,on,an ongoing,basis, ,NOT_SELECTED,x [q]
PPQ [r],NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
TASQ-IV,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,Arm A only,NOT_SELECTED,NOT_SELECTED,Arm B only,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
TASQ-SC,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,Arm B only,NOT_SELECTED,NOT_SELECTED,Arm A only,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
EORTO QLQ-C30 [t],NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,X
HCPQ-Treatment Room [u],NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
HCPQ-Drug Preparation Area [u],NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
Bilateral mammogram (or other breast imaging method per institutional practice) [v],NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X, 
Assessments for breast cancer recurrence,NOT_SELECTED,NOT_SELECTED, ,Per,institutional,practice,or,the ACS,/ ASCO [see,Breast Appendix,Cancer 4],Survivorship Care,Guideline
Assessments for non- breast primary cancers,NOT_SELECTED,NOT_SELECTED, , , , , ,Per, ,institutional,practice, , 
Survival,NOT_SELECTED,NOT_SELECTED, , , , , , , , , ,NOT_SELECTED,SELECTED X
P+H IV,NOT_SELECTED,NOT_SELECTED,Arm A only,Arm A only,Arm A only,Arm B only,Arm B only,Arm B only, , , , ,NOT_SELECTED
