Assessment,Screening: Visit-1 (Initial Surgery Clinic Visit),"Baseline, Enrollment, Randomization: Visit 1 (Day 0: Initial Clinic Visit)",Treatment Visit 2 (During Surgery),Treatment Visit 3 (After Surgery & Before Same Day Discharge),Treatment Visit 4 (48 Hours After Surgery),Treatment Visit 5 (2-Week Postoperative Visit),Follow-Up: Final Visit (6- Month Postoperative Visit)
Informed Consent Form,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Demographics,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Medical & Surgical History,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
General Physical Examination,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Current Medications,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Inclusion/Exclusion Criteria,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Blood Chemistries,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Hematology,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Urine Analysis,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Vital Signs,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED
Enrollment/Randomization,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Physical Function Assessment: Katz Index,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X
"Delirium & Cognitive Assessment: (1) Confusion Assessment Method short form, (2) Montreal Cognitive Assessment (5 minute version), (3) Trail Making Tests Parts A & B,", ,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X
"Frailty Assessment: Fatigue, Resistance, Ambulation, Illness and Loss of Weight Scale",NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Pain Assessment: Visual Analog,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Quality of Life: Carolinas Comfort Scale,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X
Time for Surgery,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Time in Post-Anesthesia Recovery Room,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Time in Step-Down Recovery Room,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Urinary Function/Unplanned Catheterization,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Unplanned Admission,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Adverse Events,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
