Visit No.,1,--,2,3,4,5,EOS
Type,Screen,Pre-treatment,Randomize, , , ,Call/Visit
Days,-17 to -14,-17 to -1,1,28,56,84 or ET,85
Window (Days),NOT_SELECTED --,NOT_SELECTED NOT_SELECTED --,NOT_SELECTED --,5,5,5,1
Participant Information, , , , , , , 
Informed Consent1,SELECTED X,NOT_SELECTED NOT_SELECTED --,NOT_SELECTED NOT_SELECTED --,NOT_SELECTED NOT_SELECTED --,NOT_SELECTED --,NOT_SELECTED NOT_SELECTED --,NOT_SELECTED --
Inclusion/Exclusion¹,SELECTED X,NOT_SELECTED --,NOT_SELECTED --,NOT_SELECTED --,NOT_SELECTED --,NOT_SELECTED --,NOT_SELECTED --
IBS-C Criteria (ROME IV),SELECTED X,- -,- -,--,--,--,--
Demographics²,SELECTED X,NOT_SELECTED NOT_SELECTED --,NOT_SELECTED NOT_SELECTED --,NOT_SELECTED --,NOT_SELECTED NOT_SELECTED --,NOT_SELECTED --,NOT_SELECTED NOT_SELECTED --
Medical History³,SELECTED X,NOT_SELECTED --,SELECTED X,NOT_SELECTED --,NOT_SELECTED --,NOT_SELECTED NOT_SELECTED --,NOT_SELECTED --
Prior/Concomitant Medications,SELECTED NOT_SELECTED X,NOT_SELECTED NOT_SELECTED --,SELECTED X,SELECTED NOT_SELECTED X,SELECTED NOT_SELECTED X,SELECTED NOT_SELECTED X,SELECTED NOT_SELECTED X
Diary compliance/ eligibility to randomize4,NOT_SELECTED NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED --,NOT_SELECTED NOT_SELECTED --,NOT_SELECTED NOT_SELECTED --,NOT_SELECTED --
Physical,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Physical Exam5,SELECTED X,NOT_SELECTED --,SELECTED X,NOT_SELECTED O,NOT_SELECTED O,SELECTED X,NOT_SELECTED O
Vital Signs,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED O
12-Lead ECG7,SELECTED X,NOT_SELECTED --,NOT_SELECTED,NOT_SELECTED --,NOT_SELECTED --,SELECTED X,NOT_SELECTED --
Drug Dispensing,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Drug Dispensing,NOT_SELECTED,NOT_SELECTED --,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED NOT_SELECTED,NOT_SELECTED
Accountability/Returns,NOT_SELECTED,NOT_SELECTED --,NOT_SELECTED --,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED --
Adverse Events,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
AEs,NOT_SELECTED --,NOT_SELECTED --,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Blood Samples,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Clinical Chemistry (CMP),SELECTED X,NOT_SELECTED --,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED --
Lipid Panel,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
Cytokine Analysis,NOT_SELECTED NOT_SELECTED --,NOT_SELECTED NOT_SELECTED NOT_SELECTED --,SELECTED X,SELECTED X,NOT_SELECTED --,SELECTED X,NOT_SELECTED NOT_SELECTED
Hematology,SELECTED X,NOT_SELECTED NOT_SELECTED --,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED --,SELECTED X,NOT_SELECTED
Serum Pregnancy8,SELECTED X,NOT_SELECTED --,NOT_SELECTED NOT_SELECTED --,NOT_SELECTED NOT_SELECTED --,NOT_SELECTED --,NOT_SELECTED NOT_SELECTED --,NOT_SELECTED --
Creatine Kinase (CK),SELECTED X,NOT_SELECTED --,NOT_SELECTED --,NOT_SELECTED O,NOT_SELECTED O,NOT_SELECTED O,NOT_SELECTED O
Urine Samples,NOT_SELECTED, , , ,NOT_SELECTED, , 
Urine Drug Screen,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Urine Pregnancy8,NOT_SELECTED --,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
Patient Reported Outcomes (REDCap),NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Diary Dispensing or Return9,SELECTED X,NOT_SELECTED NOT_SELECTED --,NOT_SELECTED NOT_SELECTED --,NOT_SELECTED NOT_SELECTED --,NOT_SELECTED NOT_SELECTED --,SELECTED NOT_SELECTED X,NOT_SELECTED NOT_SELECTED
Diary Compliance10,NOT_SELECTED --,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
EQ-5D-5L QoL Questionnaire11,NOT_SELECTED NOT_SELECTED --,NOT_SELECTED NOT_SELECTED --,SELECTED NOT_SELECTED X,NOT_SELECTED NOT_SELECTED --,NOT_SELECTED NOT_SELECTED --,SELECTED NOT_SELECTED X,NOT_SELECTED NOT_SELECTED
Stool Samples 12,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Bacteria (16S rRNA),NOT_SELECTED NOT_SELECTED --,NOT_SELECTED,SELECTED X,NOT_SELECTED --,NOT_SELECTED --,SELECTED X,NOT_SELECTED NOT_SELECTED
Methanogens (qPCR),NOT_SELECTED --,NOT_SELECTED,SELECTED X,NOT_SELECTED --,NOT_SELECTED --,SELECTED X,NOT_SELECTED --
Breath Gases,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Lactulose breath test13,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED --,NOT_SELECTED --,SELECTED X,NOT_SELECTED
Single-point breath test,NOT_SELECTED --,--,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED --,NOT_SELECTED
