Period, ,Screening, , , , ,Treatment, , 
Visit Name,Screening,Run-in¹, , ,Treatment, , ,EOT or TD,Follow-up
Days,-42 to -28,-28 to -1,1,1,28,56,84,112,124
Weeks,-6 to -4,-4 to -1,1,NOT_SELECTED 1,4,8,12,16,18
Informed consent,X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , 
Inclusion / Exclusion criteria,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , 
Demography,X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , 
Physical Examination,S,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , ,S, 
Medical history/current medical conditions,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Surgeries and Procedures,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Prior medications,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Safety Follow up Call,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,S
ACQ-5,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Vital Signs,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
Body Height,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Electrocardiogram (ECG),SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
Body Weight,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Pregnancy Test (serum),SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Pregnancy Test (Urine),NOT_SELECTED,NOT_SELECTED,SELECTED S,NOT_SELECTED,NOT_SELECTED S,SELECTED S,NOT_SELECTED S,S,NOT_SELECTED
Hematology,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED
HbA1C,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
Clinical Chemistry,SELECTED X, ,SELECTED X,NOT_SELECTED, ,X, ,SELECTED X,NOT_SELECTED
Urinalysis,SELECTED X, ,SELECTED X,NOT_SELECTED, , , , , 
Check IMP Compliance,NOT_SELECTED, , ,NOT_SELECTED,S,S,S,S, 
Contact IRT (IVRS/IWRS),S,S,S,NOT_SELECTED S,S,S,S,S, 
Randomization, , , ,S, , , , , 
Study Drug Dispensation, , , ,S,S,S,S,NOT_SELECTED, 
Study drug administration, , , , , ,Daily, , ,NOT_SELECTED
SoC/Rescue Medication Dispense,NOT_SELECTED,S,S,S,S,S,S,NOT_SELECTED,NOT_SELECTED
Adverse Events,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Serious Adverse Events,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Concomitant medications,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Liver Event Monitoring2,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Renal Event Monitoring3,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Nasal Endoscopy4,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED
Nasal Congestion Score Questionnaire,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
QoL Questionnaire (SNOT-22),SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
Smell Assessment (UPSIT),SELECTED X,SELECTED X,SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED,NOT_SELECTED
Study completion information,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED
