 ,How long does it take to complete each of these measures ?,Baseline,At Every PPJ Qualtrics upload,Asked or Tallied after Group Phase Ends,Asked or Tallied after Independent Practice Phase Ends,Final Study Activity
Baseline characteristics, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Sociodemographics,3 minutes,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Hospital Anxiety and Depression Scale,3 minutes,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
"10-item SIP-AD, addiction consequences",5 minutes,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Perceived Stress Scale,2 minutes,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
World Health Organization Wellbeing Index,1 minute,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Satisfaction with Life,1 minute,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
Recovery Capital,2 minutes,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Commitment to Sobriety (full scale),2 minutes,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Life Orientation Test (optimism),2 minutes,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Trait gratitude,2 minutes,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Reward probability index,2 minutes,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
AA Affiliation Scale,2 minutes,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Demoralization Scale,2 minutes,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Exposure to trauma,1 minute,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Using Medication Assisted Treatment?,1/2 minute,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Legal issues?,1/2 minute,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Satisfaction with treatment,2 minutes,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Social Desirability Scale,4 minutes,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
"Open ended questions: history living in / plans to return to rural areas/small towns, 12-step experience including experience working the 4, 5, and 10th steps. What have you already heard about this study?",3 minutes,NOT_SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Hypothesized Mediators, , ,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED
"Positive and Negative Affect Schedule, including three items comprising the serenity subscale (calm, relaxed, at ease)",2 minutes,SELECTED X,SELECTED X,NOT_SELECTED X,SELECTED X,NOT_SELECTED
Abstinence Self Efficacy Question (single item),1 minute,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
Commitment to Sobriety (single item),2 minutes,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Alcohol craving (single item),1/2 minute,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
Drug craving (single item),1/2 minute,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
Satisfaction with Recovery (single item),1/2 minute,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
Individual items to assess specific impact of PPJ journaling practice,3 minutes,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
Behavioral activation to increase depth of involvement in mutual aid meetings,2 minutes,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
"Effort, Feasibility, and Acceptability",NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
# of Qualtrics surveys completed,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
"Ease, helpfulness, satisfaction, effort",2 minutes,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
# group sessions attended,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
# homework assignments completed,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
# journal entries completed,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Eligibility rate and consent rate,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
Open Ended Survey Question, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
What are your thoughts about Positive Peer Journaling (PPJ) so far?,2 minutes,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Outcomes,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Recurrence of Substance Use, ,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Treatment Retention at Wayside center, ,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Qualitative Exit Interview,30 minutes,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
