Period,Screen,Placebo,Run-in, , ,Treatment, , , ,Follow- up
Visit Number (Site visits),1,101,199,201,202,203,204,TD,299,301
Treatment Week,-3,-1,0,0,2,4,8,TD,12,16
Treatment Day,-21,-7,1,1,14,28,56, ,84,112
Informed consent and assent (if applicable),X,NOT_SELECTED, , , , , , , , 
Ask question on withholding of medication before clinic visits,S, ,S, ,S,S,S,S,S, 
Demographics,SELECTED X,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , 
Medical history,SELECTED X,NOT_SELECTED,NOT_SELECTED, , , ,NOT_SELECTED,NOT_SELECTED, , 
Medical History - Protocol solicited events for asthma,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , 
Asthma exacerbation history,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED
Smoking history,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Prior/concomitant medication (asthma and non-asthma medications) review,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED X,NOT_SELECTED
Inclusion/exclusion criteria,SELECTED X,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Review and record surgeries and procedures,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED
Physical examination,S,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,S,S,NOT_SELECTED
Abbreviated physical examination,NOT_SELECTED,NOT_SELECTED,S,NOT_SELECTED,NOT_SELECTED S,S,S, , ,NOT_SELECTED
ACQ-5 in clinic,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED, , , , , , 
AQLQ+12 in clinic,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED,SELECTED X,NOT_SELECTED
Train patient and assess patient's ability to use eDiary/ePEF and dispense eDiary/ePEF,S, , , , , , , , , 
Review eDiary /ePEF compliance,NOT_SELECTED,S,St, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Review eDiary/ePEF entries,NOT_SELECTED,S,S,NOT_SELECTED,S,S,S,S,S,NOT_SELECTED
Height,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED
Weight,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED
Vital signs,SELECTED X,SELECTED,SELECTED,NOT_SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED
Electrocardiogram,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED
Electrocardiogram (Pre-dose),NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED
Pregnancy test-serum (women of child bearing potential),SELECTED X,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Pregnancy test-urine dipstick test in clinic (women of child bearing potential),NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Treatment Day,-21,SELECTED -7,NOT_SELECTED 1,NOT_SELECTED 1,14,28,56,NOT_SELECTED,84,112
 ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Urinalysis and urine chemistry (central laboratory),SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED X,NOT_SELECTED
Blood sample for hematology and chemistry (central laboratory),SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
