 ,Screening Period, , , , , , ,Treatment,Period, , , , , , , ,Follow-up,Period
Procedure,(up to -42 day S prior to D1/W-0),D1 wo,D3 W1,D8 W1,D15 (1) W2,D22 (1) W3,D29 (2) W4,D36 (2) W5a,D43 (2) W6,D50 (2) W7a,D57 (2) W8,D64 (2) W9a,D71 (2) W10,D78 (2) W11a,D85 (2) W12,D113 (2) W16,D141 (2) W20,D169 (2) W24/EOS/ ETb
Informed consent,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Inclusion/exclusion criteria,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Medical history and prior medications,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Height and weight,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
CGP,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED X
"Modified JDA, DLQId,n",SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X
GPPPGAd,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED
"PASI if plaque psoriasis is presentd,",SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X
Serum cytokines,NOT_SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED X
Complete physical examination,SELECTED SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED SELECTED X
12-lead electrocardiogram²,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X
Vital signs,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X
