,Activity,NOT_SELECTED Visit 1 Baseline,NOT_SELECTED Visit 2 Month 6,Visit 3 Month 12 (End of Study Visit)
1,Patient Informed Consent,SELECTED X,NOT_SELECTED,NOT_SELECTED
2,Inclusion/Exclusion Criteria,SELECTED X,NOT_SELECTED,NOT_SELECTED
3,Demographic information,SELECTED X,NOT_SELECTED,NOT_SELECTED
4,Medical History / Concomitant diseases / Prior MS medications,SELECTED X,NOT_SELECTED,NOT_SELECTED
5,Multiple Sclerosis History (including relapses within 2 years before study entry),SELECTED X,NOT_SELECTED,NOT_SELECTED
6,MS medication related adverse events and associated concomitant medications,SELECTED X,SELECTED X,SELECTED X
7,Vital Signs,SELECTED X,SELECTED X,SELECTED X
8,Physical Examination,SELECTED X,SELECTED X,SELECTED X
9,Neurological Examination,SELECTED X,SELECTED X,SELECTED X
10,Relapse Assessment,NOT_SELECTED,SELECTED X,SELECTED X
11,TSQM Version Il evaluation,SELECTED X,SELECTED X,SELECTED X
12,MusiQoL evaluation,SELECTED X,SELECTED X,SELECTED X
13,Document reasons for discontinuation of previous MS therapy,SELECTED X,NOT_SELECTED,NOT_SELECTED
14,Therapy with Rebif,SELECTED X,SELECTED X,SELECTED X
15,Evaluation of Adherence to Therapy,NOT_SELECTED,SELECTED X,SELECTED X
16,Safety Recording and Reporting,NOT_SELECTED,SELECTED X,SELECTED X
