, ,SCREENING DAY-14TO DAY 0*,VISIT 1: DAY 0,VISIT 2: DAY 30**,VISIT 3: DOSE 1,VISITS 4&5: DOSES 2 AND 3,VISIT 6: ONE WEEK POST- DOSING,VISITS 7&8: 30 AND 60 DAYS POST-DOSING,VISIT 9:90 DAYS POST- DOSING,EARLY PERMANENT DISCONTINUATION
1,Informed Consent Process,X, , , , , , , , 
2,Enrollment Eligibility Checklist,X, , , , , , , , 
3,Demographics,X, , , , , , , , 
4,Extended Physical Exam,X, , , , , , , , 
5,Neurological Exam,X, , , , , , , , 
6,"Hepatitis C, and Hepatitis B, HIV if necessary A",X, , , ,NOT_SELECTED, , , , 
7,Epilepsy and Medical History,X, , ,NOT_SELECTED,NOT_SELECTED, , , , 
8,"Height, Weight, and BSA",X,NOT_SELECTED, ,SELECTED X,NOT_SELECTED, , ,X,X
9,Vitals,X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X, , ,NOT_SELECTED,NOT_SELECTED
10,Pulse OximetryF,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED, ,NOT_SELECTED, 
11,CBC with Differential C,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,XB (visit 7 only),NOT_SELECTED,SELECTED X
12,Serum Chemistries with Coagulation Assessment E,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED XB (visit 4 required),XB,XB (visit 7 only),NOT_SELECTED,SELECTED X
13,Urine Pregnancy G,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED, 
14,Study Continuation Checklist,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,X,NOT_SELECTED, 
15,Abbreviated Physical Exam,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,XD,NOT_SELECTED,X
16,Concomitant Medication Review,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,X,X,SELECTED X,SELECTED X
17,Dispense Seizure Diary and Glossary,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED, 
18,"Administer QOLCE, NCBRF, & C-SSRS",NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X, ,SELECTED X,SELECTED X
19,Review Seizure Diary,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,X,NOT_SELECTED,SELECTED X
20,Investigator Opinion,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,X,NOT_SELECTED, 
21,Dosing Checklist,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED, ,NOT_SELECTED, 
22,Study Drug Administration,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED, , , 
23,Adverse Events,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,X,X,X
24,Whole Blood Rapamycin Level H,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
