,Schedule of Events, , , , , , , , 
1,Study Week,Week 0-4,Week 5-8,Week 9-12,Week 13-16,Week 17,Week 17-20,Week 21-24,Week 24
2,Study Visit*,Visit 1,Visit 2, ,NOT_SELECTED,Visit 3,NOT_SELECTED,NOT_SELECTED,Visit 4
3,Cycle,Screen,Pre-C1,Cycle 1,Cycle 2,Pre-C3,Cycle 3,Cycle 4,End
4,"Screening, Consent",SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
5,Baseline Clinical Assessment,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
6,Medical History,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED
7,Vital Signs,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED
8,Physical Exam,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
9,Concomitant Medications,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED
10,"Randomization, Enrollment",NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
11,End of Study,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED
12,Baseline Laboratory,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
13,"Blood Count Tests. hemoglobin, platelets",SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
14,"Iron Tests Fe, TIBC, Ferritin",SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
15,Thyroid Test: TSH,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
16,"WWD Test VWF:RCo VWF:Ag, VIII, multimer, genotype",SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
17,Urine Pregnancy Test,SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED
18,Primary Enppoint Measure,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
19,Pictorial Blood Assessment Chart (PBAC),SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED
20,Secondary Enpoint Measures,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
21,"Subject Diary. Cycle Severity Score. Duration,",NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED
22,"Quality of Life SF-36, Ruta, CDCHRQoL-14. CES-D",SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED
23,Satisfaction Survey. Cost-Effectiveness Questionnaire,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED
24,Adverse Events Assessment,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
25,Allergic reaction,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED
26,Thrombosis,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X
27,Bleeding (other),NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED
