 ,Screening, , , , ,Treatment, ,period, , , ,End of treatment/ early termination³,Follow- up4,Primary endpoint visit at,"Unscheduled visit, if applicable6",References (protocol section)
Visit,1,2,3²,4,5,6,7,8,9,10,11,12,13,"Week 16, if", , 
Week,-4 to -1, ,0,1,2,4,6,8,10,12,14,16,18,applicable5, , 
Day,-28 to -7,1,4,8,15,29,43,57,71,85,99,113,127, , , 
Visit window (days¹,-,-,1,3,3,3,3,3,3,3,3,3,3, , , 
Trial population and eligibility, , , , , , , , , , , , , , , , 
Informed consent7,SELECTED X,NOT_SELECTED,NOT_SELECTED, , , , , , , , , , , , ,Appendix 3B
Subject eligibility,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , , , , , , ,"8.1,8.2,8.3"
Trial products and randomisation, , , , , , , , , , , , , , , , 
Randomisation,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , , , , , , ,9.3
Dispense IMP,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED X,SELECTED,X,X,X, ,SELECTED X, , , ,(X),9.2
Instruction on IMP application,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , ,NOT_SELECTED,NOT_SELECTED, , , , ,9.2
Application of IMP,NOT_SELECTED, , , , , ,twice,daily, , , , ,NOT_SELECTED,NOT_SELECTED, ,9.2
Treatment compliance,NOT_SELECTED,NOT_SELECTED,X,X,X,X,X, ,X, ,X,X,NOT_SELECTED, , ,"9.8.3,9.8.4"
Return of IMP and accountability8,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,X, , , , ,SELECTED,SELECTED,X,NOT_SELECTED, , ,"9.8.3, 10.3, 10.4"
"Concomitant medication, concurrent procedures9",SELECTED X,SELECTED X,SELECTED X,X,X,X,X,X,X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,(X),"9.4,9.5,9.6, 9.7"
Demographics,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED,11.2.1
Fitzpatrick skin type,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , ,11.2.2
Medical history10,SELECTED X,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , ,11.2.3
Classification of chronic hand eczema,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , ,11.2.4
