Period,Screening Period, ,Treatment,Period, ,Follow-Up Period
Visit,Visit 1 (Screening),Visit 2 (Baseline/Day 1)c,Visit 3 (Week 4),Visit 4 (Week 12),Visit 5 (Week 24),Visit 6A (End-of-Trial or Early DC)
Window,-28 Day to -1,Day 1,Day 29 2,Day 85 4,Day 169 + 14,Day 197 +14
Informed Consentd,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Demographics,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Review Inclusion/Exclusion Criteria,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Review PART 2 Continuation Criteria,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
"Medical/Surgical History""",SELECTED X,X (update),NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Concomitant Medication/Procedure Review,SELECTED X,X (update),SELECTED X,SELECTED X,SELECTED X,SELECTED X
Review AEs/ADEs,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Physical Examination,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Vital Signs,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
12-Lead ECGg,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
"C-SSRS ""Baseline/Screening""",SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
"C-SSRS ""Since Last Visit""",NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Clinical chemistry and hematology laboratory parameters,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Clinical Urinalysish,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Pregnancy Test¹,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
PK Samples¹,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
PMMSA,X°, ,Daily, ,SELECTED X,NOT_SELECTED
Neuro-QoL Fatigue,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
EQ-5D-5L,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
PGI Scales,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
CGI Scales,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
6MWTk,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
IMP Administration¹,NOT_SELECTED,SELECTED X,Daily,NOT_SELECTED,SELECTED X,NOT_SELECTED
ISR Assessment,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X, 
Concomitant Medication/Procedure Review,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Review AEs/ADEs,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Physical Examination,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X
Vital Signsb,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X
12-Lead ECG°,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X
"C-SSRS ""Since Last Visit""",SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X
Clinical chemistry and hematology laboratory parametersd,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X
Clinical Urinalysisd,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X
Urine Pregnancy Teste,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
IMP Administration,NOT_SELECTED,SELECTED X,Daily,SELECTED X, ,NOT_SELECTED
ISR Assessment,SELECTED X,SELECTED X,SELECTED X,SELECTED X, , 
