 ,NOT_SELECTED,NOT_SELECTED, ,Cycle,1 (I 3,days), ,Subsequent 3,Cycles ( days),Post Therapy Follow-up (approximately 30 days after final dose of study drug)
Procedure,Screening,Baseline,Day 1,Day 2- 5,Day 7,Day 14,Day 28,Day 1-5,Day 28, 
History,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED, 
Physical Exam,SELECTED X,SELECTED Xa,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , ,SELECTED X,NOT_SELECTED, 
Vital signs,SELECTED X,SELECTED X,SELECTED Xi,NOT_SELECTED,NOT_SELECTED, , ,SELECTED X,NOT_SELECTED, 
Performance Score,SELECTED X,SELECTED Xa,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED, 
SGI-110 Administration,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED, ,SELECTED X,NOT_SELECTED, 
"Labs Complete blood countwith diff, platelets Electrolytes (including sodium, potassium, chloride, CO2), calcium, phosphorus, magnesium, creatinine, BUN, glucose, ALT, bilirubin, urinalysis, total protein, albumin, and CPK",SELECTED X,SELECTED Xa,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
"Serum normetanephrine and metanephrine (if possible, urine), and chromogranin A (in patients with PHEO/PGL only)",SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED Xi,NOT_SELECTED, 
Urine/serum pregnancy test for all females of childbearing potential,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,Xk,NOT_SELECTED,NOT_SELECTED
Biopsies,SELECTED Xc,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,Xg,NOT_SELECTED,NOT_SELECTED
1) Tumorexpression ofSDH complex subunits and FH by IHC,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED Xg,NOT_SELECTED,NOT_SELECTED
2) Tumorexpression of NY- ESO-1 by IHC,NOT_SELECTED,SELECTED Xf,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED Xg,NOT_SELECTED,NOT_SELECTED
LINE-1 demethylation analysis (Dr. Meltzer research),NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Pharmacokinetic testing,NOT_SELECTED,SELECTED X,SELECTED Xd,SELECTED Xd,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Pharmacodynamic testinge,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Response evaluation of disease b,SELECTED X,SELECTED Xb,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED Xb,NOT_SELECTED
Quality of Life (Distress thermometerand PROMIS),NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED Xh,SELECTED Xh
Adverse Events,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X
Concomitant Medications,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X
 , , , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , 
