, ,Screen/Run-In, , , , , ,Phase 1, , , , , , ,Phase 2, , , , ,Phase,3
1,Study procedures,V1 (-4 wks),V2 (-2 wks),V3 (0 wks),V4 (1 wks),V5 (2wks),V6 (3 wks),V7 (4 wks),V8 (6wks),V9 (8 wks),V10 (10 wks),V11 (12 wks),V12 (14wks),V13 (16 wks),V14 (18wks),V15 (20 wks),V16 (22 wks),V17 (24 wks),V18 (28 wks),V19 (32 wks),V20 (EOS/ET) (36 wks)
2,ICF,X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
3,Medical history,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
4,Physical exam,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
5,Vital signs*,SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
6,PROS,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
7,"Assess flares, Update med conditions and meds",NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
8,Assess AEse,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED X,SELECTED X
9,Dispense MMF/PBO, ,(500 mg/ 2x per day)- week 1 and X (1 g/ 2x per day),X* (1 g/2x per day), ,NOT_SELECTED X (1 g/ 2x per day), ,NOT_SELECTED X (1 g/ 2x per day),NOT_SELECTED X (1 g/ 2x per day),(1g/2x per day),X (1 g/ 2x per day), ,NOT_SELECTED, ,NOT_SELECTED, ,NOT_SELECTED, , ,NOT_SELECTED, 
10,Pill count, ,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
