, , , ,Pre-surgery, , ,Post-operative Follow,Up, , ,Long,term,Follow,up, , 
1,Trial Stage,Procedures and Outcome Measures, , , , , , , , , , , , , , 
2, ,"Screening, consent and registration",SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , , , , , 
3, ,Operation length,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , , , , , 
4,Stage 1,Successful use of DTI,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , , , 
5, ,Extent of tumour resection,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED, , , , , , , , , 
6, ,Complications/AE assessment,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED, , ,SELECTED, , , , , , 
7, ,"Screening, consent and randomisation",SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
8, ,Operation length,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
9, ,Successful use of DTI,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
10, ,MRI,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED X,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED
11, ,Adjuvant treatment,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED X1,SELECTED X1,SELECTED X1,SELECTED Xt,SELECTED Xt,SELECTED
12, ,MDT decision,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED
13, ,Extent of tumour resection,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
14, ,Overall survival,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED
15, ,Complications/AE assessment,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED
16,Stage 2,Patient/Proxy Reported Outcomes HRQoL,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED, , , , , , , 
17, ,QLQ-C30*,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED
18, ,BN20,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED
19, ,Site Reported Patient Outcomes Function,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED, , , , , , , 
20, ,WHO performance status,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED
21, ,MOCA,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED
22, ,Barthel (0-20),NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED
23, ,MRC Power grading,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
