,Table of Measures,T1,T2,T3,T4
1,Background characteristics and potential confounds,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
2,Demographic and clinical characteristics,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
3,Comorbid conditions,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
4,Height and weight,SELECTED,SELECTED X,NOT_SELECTED,SELECTED X
5,"Biobehavioral factors (tobacco and alcohol use, physical activity)",NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED X
6,Use of integrative therapies,SELECTED,SELECTED,SELECTED,SELECTED
7,Use of psychosocial counseling and support services,SELECTED,SELECTED,SELECTED,SELECTED
8,Medications,SELECTED,SELECTED,SELECTED,SELECTED
9,Depression (Patient Health Questionnaire-9 [PHQ-9]),SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
10,Outcomes,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
11,Depressive symptoms (Center for Epidemiologic Studies - Depression [CES-D]),SELECTED,SELECTED X,SELECTED NOT_SELECTED X,SELECTED X
12,Fatigue (Fatigue Symptom Inventory [FSI]),SELECTED,SELECTED,SELECTED,SELECTED
13,Insomnia (Insomnia Severity Index [ISI]),SELECTED,SELECTED,SELECTED,SELECTED
14,Menopausal symptoms (BCPT Symptom Checklist),SELECTED,SELECTED,SELECTED,SELECTED X
15,Perceived stress (Perceived Stress Scale [PSS]),SELECTED,SELECTED,SELECTED,SELECTED
16,Anxiety (Generalized Anxiety Disorder-7),SELECTED,SELECTED,SELECTED,SELECTED X
17,Peace and meaning (FACIT-spirituality subscale),SELECTED,SELECTED,SELECTED,SELECTED
18,"IOC v.2 scales (worry, life interference, altruism/empathy)",SELECTED,SELECTED,SELECTED,SELECTED
19,Cancer-related distress (Impact of Events Scale [IES] - intrusions subscale),SELECTED,SELECTED X,SELECTED,SELECTED
20,Positive affect (Positive and Negative Affect Scale [PANAS]- positive affect subscale + items for joviality and serenity subscales),NOT_SELECTED X,NOT_SELECTED X,NOT_SELECTED X,NOT_SELECTED X
21,Social support (2-way Social Support Questionnaire - emotional support subscales; Social Provisions Scale - attachment subscale),NOT_SELECTED X,NOT_SELECTED X,SELECTED,NOT_SELECTED X
22,Work productivity and activity impairment (WPAI-GH),SELECTED X,SELECTED,SELECTED,SELECTED X
23,Health Status (SF-12),SELECTED,SELECTED,SELECTED,SELECTED X
24,Inflammatory markers,SELECTED,SELECTED,NOT_SELECTED,SELECTED X
25,Moderators,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
26,Preparedness for cancer survivorship,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
27,Intervention preference,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
28,Childhood adversity (Risky Families Questionnaire),SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
29,Mediators,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
30,Cancer coping self-efficacy,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
31,Self-kindness (subscale of Self-Compassion Scale [SCS]),SELECTED,SELECTED X,SELECTED X,SELECTED X
32,Mindfulness (Mindful Attention Awareness Scale [MAAS]),SELECTED,SELECTED,SELECTED,SELECTED X
33,Rumination (subscale of Rumination and Reflection Questionnaire [RRQ]),SELECTED,SELECTED X,SELECTED,SELECTED X
