,Study Assessments,"Cycle 1, Day 1¹",Cycle 1 & Cycle 3 Day 4,"Cycle 1 & Cycle 3, Day 8-15",Q3W starting Wk 42 to be performed regardless of dosing),Cycle 2- CX with dosing 2,Notes
1,Physical Exam,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X, ,"(Important: Every participant will complete Cycle 1 Day 1 on study assessments. Then, they will complete 'Q3W' assessments starting at week 4' AND the 'Cycle 2-CX with dosing'"
2,Adverse Events3,Ongoing,NOT_SELECTED,NOT_SELECTED,Ongoing,Ongoing,assessments during the treatment phase). If dosing is not completed only perform the
3,Concomitant Medications,Ongoing,NOT_SELECTED,NOT_SELECTED,Ongoing,Ongoing,"""Q3W starting at Week 4"" assessments at the scheduled visit."
4,Safety, , , , ,NOT_SELECTED,"1. Assessments scheduled on days of dosing must be done prior to drug administration, unless"
5,Ocular Exam4,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,otherwise specified. All other assessments can be done +3 days unless otherwise specified.
6,ECOG Performance Status,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,"2. GSK2857916 will be administered intravenously on Day 1 (D1) of every 21-day cycle (Q3W) until disease progression, unacceptable toxicity, death or withdrawal of consent."
7,"Vital Signs (BP, HR, Body Temperature)5,",SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,3. All related SAEs are to be collected from consent through os follow-up 4. On-study ophthalmic exams to be performed by an ophthalmologist (or an optometrist if an
8,Weight5,Weight Only,NOT_SELECTED,NOT_SELECTED,SELECTED,Weight Only,ophthalmologist is not available) predose every 3 weeks. See Section 9.2.9 for the list of ophthalmic exam procedures. If there are no corneal signs per the GSK Scale for corneal
9,Hematology7,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X, ,"events at time of the cycle 4 exam, participants may have their ophthalmologic exams"
10,Clinical chemistry7,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,"decreased to once every 3 months. If a participant subsequently develops ocular symptoms, the participant should be evaluated by an ophthalmologist (an optometrist if an ophthalmologist"
11,Urine Dipstick 7,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,is not available). Intraocular must be monitored if steroid drops are used
12,eGFR (by MDRD formula- see Appendix 10),SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,"pressure eye continuously for more than 7 days. Additional exams may be performed by the ophthalmologist (an optometrist if an ophthalmologist is not available), as clinically indicated. At selected sites, participants will undergo additional ophthalmic exams. If you are a selected site,"
13,Spot urine for albumin/creatinine,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,see Section 9.2.9 for full list of ocular sub-study exam procedures.
14,"ratio5, 7,8", , , , , ,"5. If a participant's GSK2857916 dose is not administered at a given visit, the following activities"
15,CRP,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,"do not need to be performed at that visit unless clinically indicated: Vitals, weight, spot urine,"
16,"Pregnancy Test 5, 9",NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,"pregnancy test, ECG, PK sample, ADA sample, and soluble BCMA sample."
17,ECHO,SELECTED,NOT_SELECTED,NOT_SELECTED,As clinically indicated,SELECTED,"6. On initial (first infusion) dosing day, vital signs must be assessed at pre-dose (within 30 minutes prior to start of infusion(SOI)) +10 minutes after SOI, within +5 minutes of end of"
18,"12-lead ECG 5,10",SELECTED X,SELECTED,SELECTED X,NOT_SELECTED,SELECTED X, 
