,Study Assessments,"Cycle 1, Day 11",Cycle 1 & Cycle 3 Day 4,"Cycle 1 & Cycle 3, Day 8-15",Q3W starting Wk 4² (to be performed regardless of dosing),Cycle 2- CX with dosing 2,Notes
1,"Pharmacokinetics PK5,",SELECTED X11,SELECTED X12,SELECTED X13,NOT_SELECTED,SELECTED X14,"infusion (EOI), and 1-hour (+5 minutes) post EOI. On subsequent dosing days, vital signs must be assessed at pre-dose (within 30 minutes prior to SOI), within +5 minutes of EOI. On"
2,"Anti-drug antibodies5, 15",SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,"days where vital sign time points align with PK sampling time points, vital signs must be assessed prior to PK samples being drawn. On days where vital signs are measured multiple"
3,Disease Evaluation, , , ,NOT_SELECTED,NOT_SELECTED,"times, temperature does not need to be repeated unless clinically indicated."
4,Response assessment16,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,"7. Refer to Table 14 for a comprehensive list of lab tests that must be collected for all participants. If labs are completed within 72 hours prior to the first dose, this assessment need"
5,Skeletal Survey 17,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,As clinically indicated,NOT_SELECTED,not be repeated on C1D1.
6, , , , ,"Week 13, 25, 37, 49, and", ,"8. Albumin / creatinine ratios (spot urine from first void) at, C1, and every other cycle thereafter (C3, C5, C7, etc.) (use local labs; use central labs if local not available)"
7,Imaging for Extramedullary disease¹ 18, ,SELECTED,SELECTED,then every 12 weeks within the first 12 months; thereafter if, ,"9. Perform only in women of child-bearing potential. A serum pregnancy test must be performed at screening, and subsequent pregnancy tests may be either serum or urine. If test is completed within 72 hours prior to the first dose, this assessment need not be repeated on C1D1. For questionable cases of whether a participant is of non-child bearing potential, obtain follicle stimulating hormone (FSH) and estradiol. See Section 6.1, Section 9.2.8, and Appendix 5 for more details."
8, , , , ,only clinically indicated, ,"10. ECGs on dosing days: Triplicate ECGs to be performed at predose (within 30 minutes prior to SOI) and EOI (within 5 minutes prior to EOI) at cycles 1, 2, 3, 6, 9 and 12. Additional triplicate"
9,PET/CT upon achieving CR or sCR19, ,NOT_SELECTED, ,Once after CR or sCR,NOT_SELECTED,ECGS to be performed at 24 h + 2h after SOI on Day 1 of Cycle 1 and Cycle 3 and on Day 4 (+1 day) and on any day from Day 8 to Day 15 in Cycle 1 and Cycle 3. Single ECGs predose at all other cycles.
10,UPEP (Urine Protein Electrophoresis) 24 hr. urine collection, ,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,"ECG recordings should be made after at least 10 minutes rest and collected 2 minutes apart. On days where ECG time points align with PK sampling time points, ECGs must be performed prior to PK samples being drawn. ECGs on Day 4 and Day 8-15 in Cycle 1 and Cycle 3 should"
