,Study Assessments,"Cycle 1, Day 11",Cycle 1 & Cycle 3 Day 4,"Cycle 1 & Cycle 3, Day 8-15",Q3W starting Wk 42 (to be performed regardless of dosing),Cycle 2- CX with dosing 2,Notes
1,Treatment, , , , , , 
2,Premedication if needed,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,"25. GSK2857916 administration: Study drug administration +3-day window. In case a dose is delayed, the participant should wait for the next scheduled dose to resume treatment. Please"
3,GSK2857916 administration25,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,refer to Section 7.2.2 26. Corneal management information:
4,Steroid eye drops26,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,"a) Steroid eye drops administered as prophylaxis (such as: prednisolone acetate 1.0%,"
5,Preservative-free artificial tears 26,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,"prednisolone phosphate 1%, dexamethasone 0.1% or equivalent) 1 drop QID starting 1 day prior to each GSK2857916 infusion, and continuing for a total of 7 consecutive days. If dosing"
6,Health Outcomes, , , ,NOT_SELECTED,NOT_SELECTED,"delayed for a non-corneal event, the prophylactic drops can be stopped."
7,PRO-CTCAE,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,b) Prophylactic preservative-free artificial tears must be administered in each eye at least 4-8
8,NEI-VFQ-2527,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,times daily beginning on Cycle 1 Day 1 until end of treatment.
9,OSDI27,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,"c) At the start of each infusion, participants may apply cooling eye masks to their eyes for"
10,EORTC QLQ-C3028,SELECTED X,NOT_SELECTED,NOT_SELECTED,every 6 weeks,NOT_SELECTED,approximately 1 hour or as long as tolerated. d) Selected sites will participate in an ocular sub-study.
11,EORTC QLQ- MY2028,SELECTED X,NOT_SELECTED, ,every 6 weeks, ,27. NEI-VFQ-25 and OSDI will be administered every 3 weeks even if dose is delayed. Additional assessments may be conducted for those participants who are experience a worsening in
12,Patient Interview (PRO) 29, ,NOT_SELECTED,SELECTED,NOT_SELECTED,X (within 21 days after C4 Day 1),"visual function. Participants who discontinue participation in the study will continue to be assessed during follow-up until resolution of visual symptoms. Continue to follow up with participants via telephone who are still experiencing visual symptoms even after discontinuation 28. EORTC- QLQ-C30 and EORTC QLQ-MY20 should start at week 7 and continue every 6 weeks. 29. Patient Interview (PRO) must be conducted via telephone within 21 days (+7 days) following Day 1 of the fourth treatment cycle (C4D1). The second patient Interview must be completed within 21 days (+7 days) of the participants end of treatment visit, unless the participant has already completed their interview following C4D1 within the prior 30 days"
