,Study Assessments,EOT Visit¹,PFS Follow-up²,os Follow- Up³
1,Physical Exam,X,X, 
2,Safety, , , 
3,Adverse Events4,X,Related SAEs only,Related SAEs only
4,Concomitant Medications,X,X, 
5,Ocular Exam,X5,X6,X6
6,ECOG Performance Status,X, , 
7,"Vital Signs (BP, HR, Body Temperature)",X, , 
8,Weight and Height,Weight only, , 
9,Hematology7,X, , 
10,Clinical chemistry7,X, , 
11,Urine Dipstick,X, , 
12,eGFR (by MDRD formula- see Appendix 10),X, , 
13,Spot urine for albumin/creatinine ratio,X, , 
14,CRP,X, , 
15,Pregnancy Test 8,X,X, 
16,12-lead ECG' 9, , , 
17,Pharmacokinetics PK, , , 
18,Anti-drug antibodies, , , 
19,Disease Evaluation, , , 
20,Response Assessment10,X,X, 
