 ,Screening,Baseline,Biweekly Visits on Treatmenth,Unscheduled Visit,EOT or early termination,Post-Treatment weeks 4 and 12
Clinical Assessments:, , , , , , 
Informed Consent,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Eligibility Review,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Medical History,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Adverse Events,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Concomitant Medication Review,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
Pregnancy Prevention Counseling for WOCBP,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
Health Related QOL Surveysb,NOT_SELECTED,SELECTED X,NOT_SELECTED X (week 4 only),NOT_SELECTED,SELECTED X,X (post treatment week 12 only)
Drug Dispensing,NOT_SELECTED,SELECTED X,SELECTED X¹,NOT_SELECTED,NOT_SELECTED, 
"Instruct the subject on the packaging, storage and administration of study drug",NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Pill count,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
Download MEMSCapTM adherence data,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
Laboratory Assessments:9, , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
Hepatic Function Tests,SELECTED X,NOT_SELECTED,SELECTED X°,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
CBC with Platelet Count°,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
BMP with eGFR,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
HgbA1C,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
HCV RNAd,SELECTED X,NOT_SELECTED,SELECTED Xd,NOT_SELECTED,NOT_SELECTED,SELECTED X
HCV genotype if not documented in medical record,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
FibroSureR,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
"Hepatitis B surface antibody, core antibody, surface antigen",SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Hepatitis B quantitative DNA PCR test,SELECTED X,NOT_SELECTED,SELECTED Xd,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Urine drug screen,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED
Urine screen for buprenorphine,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED
Serum Pregnancy Test for WOCBP,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Urine Pregnancy Test for WOCBP,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,X (post treatment week 4 only),NOT_SELECTED
Internal Medicine Mentorship and Assessments:, , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Psychiatrist Sub-Investigator Mentorship e,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Psychiatrist Sub-Investigator Questionnaire f,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
