, ,Screening¹, , , , ,Treatment, ,Period,2, , , , ,Follow-Up, ,Period 3, , ,Follow-Up Contact4
1,Study Visit,S1/S2/S3,1,2,3,4,5,6,7,8,9,10,11/ PW154,12,13,14,15,16/ PW2 6ê,17,18
2,Week (W)/ Month (M),-42 to-14 days,Day 126,W1,W3,W4/ M1,W6,W9,W12/ M3,W15,W18,W21,W24/ M6,W28/ M7,W36/ M9,W48/ M12,W60/ M15,W72/ M18,W96/ M42,W120/ M66
3,Visit Window ( days), ,(+3),(+1),(=3),(+1),(+3),(=3),(+3),(+3),(=3),(+3),(=7),(+7),(+7),(+7),(+7),(+7),-14,-14
4,Informed Consent,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
5,Review inc/exc criteria,SELECTED X,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
6,Demographics,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
7,Medical History 87,SELECTED X28,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
8,Weight 109,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED
9,Randomization 110,NOT_SELECTED,SELECTED X26,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
10,Study drug infusion,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
11,Phone (email) contact for safety 24 hours postdose,NOT_SELECTED,SELECTED x,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
12,Efficacy assessments,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
13,CAS 132,SELECTED X,X14,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,SELECTED,SELECTED X,SELECTED X,SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
14,"Clinical Measures of Severity - includes proptosis, diplopia and motility restriction",SELECTED X,SELECTED X154,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
15,Safety assessments,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
16,Pregnancy Test,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED
17,Physical exam 187,X 198,SELECTED X187,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X18²,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,X 187,NOT_SELECTED,NOT_SELECTED
18,Ophthalmic exam 2019,720,SELECTED X,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
19,Vital Signs 224,SELECTED X,SELECTED X22+,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED
20,12-Lead ECG,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED
21,Clinical laboratory tests 232,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
22,Chemistry (excl. glucose), ,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
23,"Thyroid (FT3, FT4, TSH) 25-",SELECTED X,SELECTED X,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
