, , , , , , , , , , ,Extension,Study
1, ,V1,V2,V3,V4,V5,V5A 2,V5B² 2,V5C 2,V6,V7,V8
2, ,Screen/ Rand.,Index Procedure / Treatment (DAY 0),1 Month,3 Months,6 Months,Cross- Over Tx (DAY 0),1 Months Post Cross- Over,3 Months Post Cross- Over,12 Months (Tx Group) or 6 Months (Crossover),18 Months (Tx Group),24 Months (Tx Group)
3, ,Complete Within 60 Days of ICF,Within 30 Days of Randomizat ion,NOT_SELECTED 30 +/- 7 Days,NOT_SELECTED 90 +/-14 Days,180+/-14 Days from Treatme nt,NOT_SELECTED Within +30 Days from V5,NOT_SELECTED 30 +/- 7 Days from V5A,NOT_SELECTED 90 +/-14 Days from V5A,360 +/- 14 Days or 180 +/- 14 Days from V2/5A,NOT_SELECTED 540 +/- 14 Days from V2,NOT_SELECTED 720+/- 14 Days from V2
4,Informed Consent,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED
5,Inclusion/Exclusion,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
6,Pregnancy Test (if applicable),SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
7,Relevant Medical History,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
8,Radiographic Exam,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED
9,Physical Exam,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED,SELECTED
10,Knee Exam,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED
11,Diagnostic Block Procedure,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
12,Beck's Depression Index,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
13,Numeric Rating Scale,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED X,SELECTED
14,WOMAC,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED
15,EQ-5d,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED
16,Healthcare Utlization,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED
17,Global Perceived Effect Score,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED
18,Randomization,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
19,Coolief (CRFA) Applications,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED x²,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
20,Viscosupplementation (HA) Knee Injection,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
21,Adverse Event Assessment4,SELECTED,SELECTED X,SELECTED,SELECTED X,SELECTED X,SELECTED,SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X
22,Concomitant Medication Assessment,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED x,SELECTED X,SELECTED X,SELECTED
23,Patient Stipend (if applicable),SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED
