 , , , ,Appendix 1.,Frequency of,Outcomes,for Aims 1,-3, , , , 
Assessment Category #=with and without stim,Assessments,Pre- screen,Screen,Pre-Usual Care,Pre-implant,Post- Implant/ Pre- Interventi on,Weekly,Periodic Throug hout Interve ntion,Monthly,Post- Interven tion #1,Post- Interven tion #2,Follow Up(s)
 ,SC MRI,SELECTED X,or X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
 ,ASIA,NOT_SELECTED,SELECTED,SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED X,NOT_SELECTED
 ,Physician and PT Medical,NOT_SELECTED,SELECTED,SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED X
Medical,Pregnancy,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
 ,Blood Work,NOT_SELECTED,SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X
 ,Drug Testing,SELECTED,SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED,SELECTED X,NOT_SELECTED,SELECTED,SELECTED,SELECTED X
 ,MMR,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
 ,FNPA,NOT_SELECTED,SELECTED,SELECTED X,SELECTED X,X#,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,X#,X#,X#
 ,NRS trunk and leg score,NOT_SELECTED,SELECTED,SELECTED X,NOT_SELECTED,X#,NOT_SELECTED,X#,NOT_SELECTED,X#,X#,X#
Voluntary,Lower Extremity Torque with EMG,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,X#,NOT_SELECTED,X#,NOT_SELECTED,X#,X#,X#
 ,Neuromuscular Voluntary Movement Assessments,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,X#,NOT_SELECTED,X#,NOT_SELECTED,X#,X#,X#
 , , , , , , , , , , , , 
 ,Ambulatory BP monitoring,NOT_SELECTED,SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X
 ,Ambulatory HR monitoring,NOT_SELECTED,SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED X,SELECTED X
 ,12 lead ECG,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X, 
 ,Orthostatic Stress Test,NOT_SELECTED,SELECTED,SELECTED X,SELECTED X,X#,NOT_SELECTED,X#,NOT_SELECTED,X#,X#,X#
Cardiovascular,Vascular Ultrasound,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,X#,NOT_SELECTED,X#,NOT_SELECTED,X#,X#,X#
 ,Echo- cardiography,NOT_SELECTED,SELECTED,SELECTED X,SELECTED X,X#,NOT_SELECTED,X#,NOT_SELECTED,X#,X#,X#
 ,Arterial pulse wave velocity,NOT_SELECTED,SELECTED,SELECTED,SELECTED X,X#,NOT_SELECTED,X#,NOT_SELECTED,SELECTED X#,X#,X#
 ,Sympathetic skin responses,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED, , ,SELECTED,SELECTED,NOT_SELECTED
 , , , , , , , , , , , , 
 ,Dexa,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,SELECTED,SELECTED,SELECTED X
Stand,Independence levels during stand -,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED X#,NOT_SELECTED X#,X#,NOT_SELECTED,X#,X#,X#
 ,Standing Assessments,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,X#,NOT_SELECTED,X#,NOT_SELECTED,X#,X#,X#
 , , , , , , , , , , , , 
 ,Pulmonary Function Test,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,X#,NOT_SELECTED, ,NOT_SELECTED,X#,X#,X#
Respiratory,Respiratory Motor Control Assessment,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,X#,NOT_SELECTED,NOT_SELECTED, ,X#,X#,X#
 ,Resting metabolic rate,NOT_SELECTED,SELECTED,SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED X
 ,Urodynamics,NOT_SELECTED,SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED X
Bladder,Bladder Questionnaire,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED X
 ,Urinalysis,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED X
 ,Ultrasound,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED X,SELECTED X
 ,Bowel Questionnaire,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED X
Bowel,Anorectal Manometry,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED X
 ,International Dataset (Males),NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED X
Sexual Function,International Dataset (Females),NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED X,SELECTED X
 ,SCI-QOL,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED X
of Life,SCI-FI,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED X
Quality,PROMIS,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED X
 ,EQ-5D-3L,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED X
