,Table 7. Therapy Evaluations,Week 2 +/- 4 days,Week 4 +/- 7 days,NOT_SELECTED Week 8 +/- 7 days,Week 12 +/- 7 days,NOT_SELECTED Week 16 +/- 7 days,Week 20 +/- 7 days,Week 24/ Off Study +/- 7 days
1,History including medications,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
2,"Physical Exam (Ht, Wt, VS)",NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
3,"Anthropometrics: body fat %, abdominal circumference, hip circumference",NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
4,"Fasting blood work: CBC, CMP, HbA1c, insulin, IGFBP-1, lactate, cystatin C, lipid panel",NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
5,Walking speed,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
6,Hand grip strength,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
7,Accelerometer (mailed prior to visit),NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
8,*Pregnancy Test,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
9,HRQOL (SF-36),NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
10,NHANES-PAQ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X
11,Medication Adherence Assessment,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
12,Lifestyle Change Adherence Log,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
13,Symptom Log including CTCAE/Adverse Events,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
14,Barriers and facilitators to medication adherence and lifestyle change surveys,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED X
