,Visit name & approximate pregnancy week,Participant identificatio n,Baseline,Follow up 1,Follow up 2,Birth,Post-birth
1, ,26+0-30+6,27+0-31+6 a,NOT_SELECTED 32+0 + 1 b, ,NOT_SELECTED,3 month post birth
2,Patient information *,SELECTED Xh,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
3,Informed consent *,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
4,Inclusion / exclusion criteria*,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
5,Demographics *,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
6,Medical and obstetric personal and family history *,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
7,Adverse events*,NOT_SELECTED,SELECTED X,SELECTED,SELECTED X,SELECTED Xn,NOT_SELECTED
8,Concomitant medication *,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X o,NOT_SELECTED
9,Weight *,NOT_SELECTED,SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED
10,Blood pressure and pulse d,NOT_SELECTED,SELECTED X,SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
11,Fasted glucose,SELECTED X u,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
12,HbA1c,SELECTED Xi,SELECTED Xj,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED Xt
13,"Liver function tests, bile acids and high sensitivity C- reactive protein, U&E",NOT_SELECTED,NOT_SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
14,Fasting lipid profile,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
15,"1,5-Anhydroglucitol and non- fasting metabolic hormones",NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
16,"1,5-Anhydroglucitol and fasting free fatty acids & metabolic hormones e",NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
17,Optional faecal sample e,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X k,NOT_SELECTED,NOT_SELECTED
18,Optional GUARD MEC Blood samples after a breakfast e *,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X¹,NOT_SELECTED,NOT_SELECTED
19,Cord blood samples e,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED
20,Meconium collection e,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED
21,Randomisation,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
22,IMP dispensing,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED,NOT_SELECTED,NOT_SELECTED
23,IMP administration,NOT_SELECTED,NOT_SELECTED,SELECTED X,(continuously),NOT_SELECTED,NOT_SELECTED
24,Dispense diary card,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
25,Drug diary review,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
26,Continuous Glucose Monitoring f*,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED
27,Download CGM data *,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
28,Optional vascular studies g,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED
29,Quality of life questionnaires (EQ-5D-5L),NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
30,Treatment satisfaction questionnaires (DTSQs),NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
31,4-day food diary *,NOT_SELECTED,NOT_SELECTED,SELECTED m,SELECTED m,NOT_SELECTED,NOT_SELECTED
32,Labour and birth data *,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X p,NOT_SELECTED
33,Neonatal anthropometry *,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED qr,NOT_SELECTED
34,Neonatal data *,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED s,NOT_SELECTED
