Phase,Screening, ,Titration,Phase, ,Maintenance Phase,End-of-study
 ,D-28 to D-1,D1 (see separate flow chart for this visit),D8 (+/-2days),D15 (+/-2days),D22 (+/-2days),D29 (+2days) EOT/early discontinuation,D36 (+/-2days)
Informed consent,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED
Visit at clinical site,SELECTED X,SELECTED Xa,SELECTED X,SELECTED X,SELECTED X,SELECTED xa,SELECTED X
Data of previous coronary artery angiography or CCTA,SELECTED xb,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Inclusion/exclusion criteria,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Medical/surgical history,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Prior/concomitant medications,SELECTED <---,NOT_SELECTED ----,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED
IVRS/IWRS,SELECTED X°,SELECTED XP,SELECTED XP,SELECTED XP,SELECTED XP,SELECTED X,NOT_SELECTED
Randomization,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
IMP administrationd,NOT_SELECTED,SELECTED <---,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED
IMP dispensation,NOT_SELECTED,SELECTED X,SELECTED,SELECTED X,SELECTED X,SELECTED Xq,NOT_SELECTED
Safety,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Physical examination,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
Height,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Body weight,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
"Vital signse (including search for orthostatic BP), ECGs",SELECTED X,"SELECTED xf,g",SELECTED xf,SELECTED xf,SELECTED xf,"SELECTED xf,g",SELECTED X
Body temperature,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
"Hematology, biochemistry, urinalysis",SELECTED X,SELECTED X,SELECTED XS,SELECTED xns,SELECTED xns,SELECTED X,SELECTED XS
Renal function (blood creatinine and cystatin C),SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Plasma FSHM,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Adverse event collection,<---,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED ----,NOT_SELECTED,NOT_SELECTED ----,SELECTED
Pharmacodynamics,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Data of previous CFR assessment whatever the method,xb,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
CFR assessed by vasodilator stress PET, ,SELECTED xi,NOT_SELECTED, , ,SELECTED xi,NOT_SELECTED
scan,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
NIMP administration,NOT_SELECTED,SELECTED xir,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
Patient's diary dispensation and/or review (angina episodes and short-acting nitroglycerin intakes),SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
SAQ/,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
Resources Utilizationk,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Patients' perception of treatment and symptoms/,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
Pharmacokinetics,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
SAR407899 pharmacokinetic plasma samples,NOT_SELECTED,SELECTED x,SELECTED,SELECTED,SELECTED,SELECTED x,NOT_SELECTED
DNA,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Pharmacogenetic DNA sample,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Biomarkers,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Blood samples for and,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Future use of samples,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , ,NOT_SELECTED
Blood sample if specific consent signed,NOT_SELECTED,SELECTED X,NOT_SELECTED, , , ,NOT_SELECTED
Informed consent,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Visit at clinical site,SELECTED X,SELECTED xa,SELECTED X,SELECTED X,SELECTED X,SELECTED Xa,SELECTED X
