Procedures, , , , ,Randomized,Phase, , ,Continuation Phase, , 
 , , ,4,12,24,36,48b,52,Every 12 Weeks After Week 52, , 
Clinical and Other Assessments, , , , , , , , , ,NOT_SELECTED, 
Written informed consent,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
Inclusion/Exclusion criteriae,SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
Demography,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
Prior ART history,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
Medical history,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
Menopause historyg,SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED, 
Current medical conditions,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED
Cardiovascular risk assessment including vital signsh,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Body Weight (BMI will be calculated within the eCRF)i,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED NOT_SELECTED X
HIV risk factors and mode of transmission,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
CDC HIV-1 classification,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
HIV associated conditionsi,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED,NOT_SELECTED
Columbia Suicidality Severity Rating Scale,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
Concomitant medication,SELECTED X,SELECTED X,SELECTED,SELECTED,SELECTED X,SELECTED X,SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED
Symptom Directed Physical Exam,SELECTED X,SELECTED X,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED
12-lead ECGm,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Adverse events,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Serious adverse events,Xn,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED
Willingness to Switch°,NOT_SELECTED,SELECTED X°,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED
HIV TSQP,NOT_SELECTED,SELECTED X,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED, ,SELECTED,NOT_SELECTED
Symptom Distress Modulep,NOT_SELECTED,SELECTED X,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,X (every 24 weeks),SELECTED,NOT_SELECTED
Laboratory Assessments, , , , , , , ,NOT_SELECTED, , ,NOT_SELECTED
